Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
4	40	0.583333333333347	10254		0.234083206033358
6	31	0.583333333333347	10299		0.234083206033358
1	5	0.583333333333347	10360		0.234083206033358
0	0	NA	10376		NA
2	11	0.583333333333347	10377		0.234083206033358
0	1	0.583333333333347	10407		0.234083206033358
0	0	NA	10515		NA
8	73	0.583333333333347	10579		0.234083206033358
3	16	0.583333333333347	10580		0.234083206033358
3	26	0.583333333333347	10583		0.234083206033358
2	32	0.774496270054848	10586		0.110980669445767
1	38	0.91638943759438	10588		0.0379199251798385
2	16	0.583333333333347	10600		0.234083206033358
4	14	0.583333333333347	10614		0.234083206033358
10	45	0.583333333333347	10621		0.234083206033358
0	2	0.583333333333347	11259		0.234083206033358
2	5	0.583333333333347	11676		0.234083206033358
0	2	0.583333333333347	11679		0.234083206033358
12	87	0.583333333333347	11706		0.234083206033358
0	2	0.583333333333347	11714		0.234083206033358
0	0	NA	11909		NA
0	2	0.583333333333347	11927		0.234083206033358
0	11	0.789210386341551	1263720		0.102807207883682
0	2	0.583333333333347	1343791		0.234083206033358
1	9	0.583333333333347	158611		0.234083206033358
2	17	0.583333333333347	1891767		0.234083206033358
3	17	0.583333333333347	211044		0.234083206033358
0	2	0.583333333333347	251307		0.234083206033358
0	2	0.583333333333347	261268		0.234083206033358
4	27	0.583333333333347	2697049		0.234083206033358
1	10	0.583333333333347	28285		0.234083206033358
2	10	0.583333333333347	295027		0.234083206033358
1	9	0.583333333333347	31552		0.234083206033358
0	4	0.583333333333347	31684		0.234083206033358
4	7	0.53449127481714	31762		0.272059379940139
0	3	0.583333333333347	329599		0.234083206033358
9	74	0.583333333333347	333760		0.234083206033358
9	45	0.583333333333347	333761		0.234083206033358
4	10	0.53449127481714	333763		0.272059379940139
4	50	0.763523217521567	333923		0.117177752205214
0	4	0.583333333333347	337052		0.234083206033358
1	24	0.786782689106344	33708		0.104145204050486
0	4	0.583333333333347	363744		0.234083206033358
0	11	0.786782689106344	37122		0.104145204050486
0	4	0.583333333333347	37296		0.234083206033358
1	0	0.583333333333347	37959		0.234083206033358
0	3	0.583333333333347	380337		0.234083206033358
1	3	0.583333333333347	381517		0.234083206033358
1	19	0.763523217521567	381518		0.117177752205214
0	0	NA	382835		NA
4	10	0.53449127481714	385599		0.272059379940139
0	3	0.583333333333347	392809		0.234083206033358
0	3	0.583333333333347	402527		0.234083206033358
0	1	0.583333333333347	442553		0.234083206033358
0	4	0.583333333333347	644788		0.234083206033358
0	12	0.789210386341551	694009		0.102807207883682
3	28	0.583333333333347	82830		0.234083206033358
3	9	0.583333333333347	868565		0.234083206033358
1	4	0.583333333333347	928302		0.234083206033358
0	1	0.583333333333347	997555		0.234083206033358
