Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
8	36	0.889546149431854	10254		0.0508315159064309
1	36	0.976068236309504	10299		0.0105198200210242
0	6	0.974843158869855	10360		0.0110652517030484
0	0	NA	10376		NA
0	13	0.976068236309504	10377		0.0105198200210242
0	1	0.889546149431854	10407		0.0508315159064309
0	0	NA	10515		NA
6	75	0.976068236309504	10579		0.0105198200210242
0	19	0.976068236309504	10580		0.0105198200210242
1	28	0.976068236309504	10583		0.0105198200210242
5	29	0.889546149431854	10586		0.0508315159064309
3	36	0.976068236309504	10588		0.0105198200210242
1	17	0.976068236309504	10600		0.0105198200210242
1	17	0.976068236309504	10614		0.0105198200210242
2	53	0.976068236309504	10621		0.0105198200210242
0	2	0.889546149431854	11259		0.0508315159064309
1	6	0.889546149431854	11676		0.0508315159064309
0	2	0.889546149431854	11679		0.0508315159064309
5	94	0.987908487918211	11706		0.0052832831784045
1	1	0.889546149431854	11714		0.0508315159064309
0	0	NA	11909		NA
0	2	0.889546149431854	11927		0.0508315159064309
0	11	0.976068236309504	1263720		0.0105198200210242
0	2	0.889546149431854	1343791		0.0508315159064309
0	10	0.976068236309504	158611		0.0105198200210242
2	17	0.889546149431854	1891767		0.0508315159064309
2	18	0.889546149431854	211044		0.0508315159064309
0	2	0.889546149431854	251307		0.0508315159064309
0	2	0.889546149431854	261268		0.0508315159064309
2	29	0.976068236309504	2697049		0.0105198200210242
1	10	0.889546149431854	28285		0.0508315159064309
1	11	0.889546149431854	295027		0.0508315159064309
1	9	0.889546149431854	31552		0.0508315159064309
2	2	0.889546149431854	31684		0.0508315159064309
1	10	0.889546149431854	31762		0.0508315159064309
0	3	0.889546149431854	329599		0.0508315159064309
6	77	0.976068236309504	333760		0.0105198200210242
3	51	0.976068236309504	333761		0.0105198200210242
1	13	0.889546149431854	333763		0.0508315159064309
2	52	0.976068236309504	333923		0.0105198200210242
0	4	0.889546149431854	337052		0.0508315159064309
0	25	0.976068236309504	33708		0.0105198200210242
0	4	0.889546149431854	363744		0.0508315159064309
2	9	0.889546149431854	37122		0.0508315159064309
0	4	0.889546149431854	37296		0.0508315159064309
0	1	0.889546149431854	37959		0.0508315159064309
0	3	0.889546149431854	380337		0.0508315159064309
0	4	0.889546149431854	381517		0.0508315159064309
2	18	0.889546149431854	381518		0.0508315159064309
0	0	NA	382835		NA
0	14	0.976068236309504	385599		0.0105198200210242
1	2	0.889546149431854	392809		0.0508315159064309
0	3	0.889546149431854	402527		0.0508315159064309
0	1	0.889546149431854	442553		0.0508315159064309
0	4	0.889546149431854	644788		0.0508315159064309
0	12	0.976068236309504	694009		0.0105198200210242
2	29	0.976068236309504	82830		0.0105198200210242
1	11	0.889546149431854	868565		0.0508315159064309
2	3	0.889546149431854	928302		0.0508315159064309
0	1	0.889546149431854	997555		0.0508315159064309
