Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
0	44	0.832158668485418	47551	1965	10254		0.0797938584715435
3	34	0.553945621183791	49667	3136	10299		0.256532866280492
0	6	0.553945621183791	5481	412	10360		0.256532866280492
0	0	NA	7970	538	10376		NA
1	12	0.553945621183791	31378	1797	10377		0.256532866280492
0	1	0.553945621183791	4105	182	10407		0.256532866280492
0	0	NA	2245	167	10515		NA
8	73	0.06931964198604	108974	4409	10579	***	1.15914368894555
4	15	0.00835430736198001	26236	1042	10580	***	2.07808955071845
3	26	0.400133958319309	48481	1956	10583		0.39779458962359
4	30	0.237464775117894	55460	2297	10586		0.624400803329634
5	34	0.0813905196906806	45874	1933	10588	***	1.08942617847446
2	16	0.400133958319309	27348	839	10600		0.39779458962359
1	17	0.553945621183791	26994	976	10614		0.256532866280492
7	48	0.0525729687071331	68449	3162	10621	***	1.27923749841008
0	2	0.553945621183791	6112	281	11259		0.256532866280492
0	7	0.553945621183791	9615	367	11676		0.256532866280492
0	2	0.553945621183791	6741	232	11679		0.256532866280492
9	90	0.365864086266424	156000	8251	11706		0.436680219378684
0	2	0.553945621183791	6741	255	11714		0.256532866280492
0	0	NA	1884	164	11909		NA
1	1	0.553945621183791	4792	394	11927		0.256532866280492
0	11	0.553945621183791	12267	509	1263720		0.256532866280492
0	2	0.553945621183791	10527	514	1343791		0.256532866280492
1	9	0.553945621183791	18982	712	158611		0.256532866280492
2	17	0.553945621183791	20046	1122	1891767		0.256532866280492
0	20	0.722353400818848	44034	2322	211044		0.141250278226102
0	2	0.553945621183791	4467	137	251307		0.256532866280492
0	2	0.553945621183791	3336	94	261268		0.256532866280492
0	31	0.832158668485418	37047	2089	2697049		0.0797938584715435
0	11	0.553945621183791	28220	1309	28285		0.256532866280492
2	10	0.400133958319309	9079	409	295027		0.39779458962359
3	7	0.00248178227191779	21601	767	31552	***	2.60523632205258
0	4	0.553945621183791	6624	252	31684		0.256532866280492
1	10	0.553945621183791	16053	1139	31762		0.256532866280492
0	3	0.553945621183791	7828	288	329599		0.256532866280492
6	77	0.400133958319309	141172	5346	333760		0.39779458962359
8	46	0.000960900847964098	76490	2785	333761	***	3.01732142336543
2	12	0.400133958319309	25319	1002	333763		0.39779458962359
4	50	0.553945621183791	74418	3312	333923		0.256532866280492
0	4	0.553945621183791	9423	402	337052		0.256532866280492
1	24	0.553945621183791	36213	1138	33708		0.256532866280492
0	4	0.553945621183791	15635	682	363744		0.256532866280492
1	10	0.553945621183791	9210	319	37122		0.256532866280492
0	4	0.553945621183791	2305	74	37296		0.256532866280492
0	1	0.553945621183791	6675	280	37959		0.256532866280492
0	3	0.553945621183791	9213	425	380337		0.256532866280492
0	4	0.553945621183791	8466	473	381517		0.256532866280492
1	19	0.553945621183791	31605	1620	381518		0.256532866280492
0	0	NA	3183	140	382835		NA
0	14	0.678923344303547	17914	1116	385599		0.168179258157376
1	2	0.482635406370578	6550	257	392809		0.316380821201937
0	3	0.553945621183791	17154	762	402527		0.256532866280492
0	1	0.553945621183791	8506	509	442553		0.256532866280492
0	4	0.553945621183791	13454	645	644788		0.256532866280492
1	11	0.553945621183791	23271	1309	694009		0.256532866280492
1	30	0.553945621183791	48375	2483	82830		0.256532866280492
0	12	0.654544412468671	16853	1085	868565		0.184060880151141
0	5	0.553945621183791	16105	945	928302		0.256532866280492
0	1	0.553945621183791	5305	133	997555		0.256532866280492
