Top_S	Top_NS	p_val	Virus	Significance	log_p_val
35	9	0.571428571428579	10254		0.243038048686288
34	3	0.525815995466474	10299		0.279166206671719
4	2	0.571428571428579	10360		0.243038048686288
0	0	NA	10376		NA
11	2	0.571428571428579	10377		0.243038048686288
0	1	0.656231522301049	10407		0.182942911967959
0	0	NA	10515		NA
68	13	0.571428571428579	10579		0.243038048686288
17	2	0.571428571428579	10580		0.243038048686288
19	10	0.826532259711611	10583		0.0827401911653392
26	8	0.571428571428579	10586		0.243038048686288
35	4	0.525815995466474	10588		0.279166206671719
15	3	0.571428571428579	10600		0.243038048686288
13	5	0.607823195338766	10614		0.216222730686779
43	12	0.571428571428579	10621		0.243038048686288
1	1	0.571428571428579	11259		0.243038048686288
5	2	0.571428571428579	11676		0.243038048686288
2	0	0.571428571428579	11679		0.243038048686288
75	24	0.571428571428579	11706		0.243038048686288
2	0	0.571428571428579	11714		0.243038048686288
0	0	NA	11909		NA
2	0	0.571428571428579	11927		0.243038048686288
9	2	0.571428571428579	1263720		0.243038048686288
2	0	0.571428571428579	1343791		0.243038048686288
10	0	0.571428571428579	158611		0.243038048686288
15	4	0.571428571428579	1891767		0.243038048686288
18	2	0.571428571428579	211044		0.243038048686288
2	0	0.571428571428579	251307		0.243038048686288
2	0	0.571428571428579	261268		0.243038048686288
21	10	0.656231522301049	2697049		0.182942911967959
9	2	0.571428571428579	28285		0.243038048686288
11	1	0.571428571428579	295027		0.243038048686288
10	0	0.571428571428579	31552		0.243038048686288
3	1	0.571428571428579	31684		0.243038048686288
8	3	0.571428571428579	31762		0.243038048686288
2	1	0.571428571428579	329599		0.243038048686288
64	19	0.571428571428579	333760		0.243038048686288
44	10	0.571428571428579	333761		0.243038048686288
12	2	0.571428571428579	333763		0.243038048686288
42	12	0.571428571428579	333923		0.243038048686288
3	1	0.571428571428579	337052		0.243038048686288
23	2	0.571428571428579	33708		0.243038048686288
4	0	0.571428571428579	363744		0.243038048686288
11	0	0.571428571428579	37122		0.243038048686288
4	0	0.571428571428579	37296		0.243038048686288
0	1	0.694811210413991	37959		0.15813318305502
3	0	0.571428571428579	380337		0.243038048686288
3	1	0.571428571428579	381517		0.243038048686288
14	6	0.635101563616524	381518		0.197156818029006
0	0	NA	382835		NA
11	3	0.571428571428579	385599		0.243038048686288
3	0	0.571428571428579	392809		0.243038048686288
3	0	0.571428571428579	402527		0.243038048686288
1	0	0.571428571428579	442553		0.243038048686288
4	0	0.571428571428579	644788		0.243038048686288
9	3	0.571428571428579	694009		0.243038048686288
26	5	0.571428571428579	82830		0.243038048686288
7	5	0.669443155307154	868565		0.174286294506403
3	2	0.571428571428579	928302		0.243038048686288
1	0	0.571428571428579	997555		0.243038048686288
