Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
5	34	0.919354838709696	10254		0.0365168338257537
3	30	0.940142365706598	10299		0.0268063762309419
0	5	0.940142365706598	10360		0.0268063762309419
1	5	0.919354838709696	10376		0.0365168338257537
1	18	0.940142365706598	10377		0.0268063762309419
0	1	0.919354838709696	10407		0.0365168338257537
0	1	0.919354838709696	10515		0.0365168338257537
7	66	0.940142365706598	10579		0.0268063762309419
1	19	0.940142365706598	10580		0.0268063762309419
3	34	0.940142365706598	10583		0.0268063762309419
4	31	0.919354838709696	10586		0.0365168338257537
3	45	0.940142365706598	10588		0.0268063762309419
1	19	0.940142365706598	10600		0.0268063762309419
1	21	0.940142365706598	10614		0.0268063762309419
2	36	0.940142365706598	10621		0.0268063762309419
1	5	0.919354838709696	11259		0.0365168338257537
1	6	0.919354838709696	11676		0.0365168338257537
0	3	0.919354838709696	11679		0.0365168338257537
7	106	0.980724928622911	11706		0.008452785416013
1	1	0.919354838709696	11714		0.0365168338257537
0	0	NA	11909		NA
0	5	0.940142365706598	11927		0.0268063762309419
0	10	0.940142365706598	1263720		0.0268063762309419
1	4	0.919354838709696	1343791		0.0365168338257537
2	6	0.919354838709696	158611		0.0365168338257537
2	18	0.919354838709696	1891767		0.0365168338257537
2	17	0.919354838709696	211044		0.0365168338257537
0	1	0.919354838709696	251307		0.0365168338257537
0	1	0.919354838709696	261268		0.0365168338257537
1	31	0.940142365706598	2697049		0.0268063762309419
2	16	0.919354838709696	28285		0.0365168338257537
0	15	0.940142365706598	295027		0.0268063762309419
2	10	0.919354838709696	31552		0.0365168338257537
2	4	0.919354838709696	31684		0.0365168338257537
1	14	0.940142365706598	31762		0.0268063762309419
1	1	0.919354838709696	329599		0.0365168338257537
8	86	0.940142365706598	333760		0.0268063762309419
4	57	0.940142365706598	333761		0.0268063762309419
0	23	0.942220022448879	333763		0.0258476711159666
5	62	0.940142365706598	333923		0.0268063762309419
0	3	0.919354838709696	337052		0.0365168338257537
1	28	0.942220022448879	33708		0.0258476711159666
1	5	0.919354838709696	363744		0.0365168338257537
1	13	0.940142365706598	37122		0.0268063762309419
0	3	0.919354838709696	37296		0.0365168338257537
0	1	0.919354838709696	37959		0.0365168338257537
1	4	0.919354838709696	380337		0.0365168338257537
0	4	0.919354838709696	381517		0.0365168338257537
4	23	0.919354838709696	381518		0.0365168338257537
0	0	NA	382835		NA
0	9	0.940142365706598	385599		0.0268063762309419
0	2	0.919354838709696	392809		0.0365168338257537
1	3	0.919354838709696	402527		0.0365168338257537
2	3	0.919354838709696	442553		0.0365168338257537
1	3	0.919354838709696	644788		0.0365168338257537
0	15	0.940142365706598	694009		0.0268063762309419
3	36	0.940142365706598	82830		0.0268063762309419
1	18	0.940142365706598	868565		0.0268063762309419
1	5	0.919354838709696	928302		0.0365168338257537
0	0	NA	997555		NA
