Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
1	38	0.565182765045858	47551	1965	10254		0.247811090205653
3	30	0.55882352941177	49667	3136	10299		0.252725316089422
0	5	0.55882352941177	5481	412	10360		0.252725316089422
1	5	0.55882352941177	7970	538	10376		0.252725316089422
2	17	0.55882352941177	31378	1797	10377		0.252725316089422
0	1	0.55882352941177	4105	182	10407		0.252725316089422
0	1	0.55882352941177	2245	167	10515		0.252725316089422
5	68	0.55882352941177	108974	4409	10579		0.252725316089422
3	17	0.304739964453268	26236	1042	10580		0.516070587446518
2	35	0.55882352941177	48481	1956	10583		0.252725316089422
2	33	0.55882352941177	55460	2297	10586		0.252725316089422
1	47	0.656590766052794	45874	1933	10588		0.182705229252912
3	17	0.278132994986762	27348	839	10600		0.555747487616642
0	22	0.656590766052794	26994	976	10614		0.182705229252912
2	36	0.55882352941177	68449	3162	10621		0.252725316089422
1	5	0.55882352941177	6112	281	11259		0.252725316089422
0	7	0.55882352941177	9615	367	11676		0.252725316089422
0	3	0.55882352941177	6741	232	11679		0.252725316089422
11	102	0.304739964453268	156000	8251	11706		0.516070587446518
0	2	0.55882352941177	6741	255	11714		0.252725316089422
0	0	NA	1884	164	11909		NA
1	4	0.55882352941177	4792	394	11927		0.252725316089422
0	10	0.55882352941177	12267	509	1263720		0.252725316089422
0	5	0.55882352941177	10527	514	1343791		0.252725316089422
1	7	0.55882352941177	18982	712	158611		0.252725316089422
2	18	0.55882352941177	20046	1122	1891767		0.252725316089422
1	18	0.55882352941177	44034	2322	211044		0.252725316089422
0	1	0.55882352941177	4467	137	251307		0.252725316089422
0	1	0.55882352941177	3336	94	261268		0.252725316089422
2	30	0.55882352941177	37047	2089	2697049		0.252725316089422
0	18	0.656590766052794	28220	1309	28285		0.182705229252912
1	14	0.55882352941177	9079	409	295027		0.252725316089422
2	10	0.479502318934273	21601	767	31552		0.319209288184823
0	6	0.55882352941177	6624	252	31684		0.252725316089422
0	15	0.708387382733147	16053	1139	31762		0.149729182741943
0	2	0.55882352941177	7828	288	329599		0.252725316089422
5	89	0.55882352941177	141172	5346	333760		0.252725316089422
6	55	0.278132994986762	76490	2785	333761		0.555747487616642
2	21	0.55882352941177	25319	1002	333763		0.252725316089422
1	66	0.793847454337482	74418	3312	333923		0.100262943548136
1	2	0.55882352941177	9423	402	337052		0.252725316089422
1	28	0.55882352941177	36213	1138	33708		0.252725316089422
0	6	0.55882352941177	15635	682	363744		0.252725316089422
0	14	0.55882352941177	9210	319	37122		0.252725316089422
0	3	0.55882352941177	2305	74	37296		0.252725316089422
0	1	0.55882352941177	6675	280	37959		0.252725316089422
0	5	0.55882352941177	9213	425	380337		0.252725316089422
1	3	0.55882352941177	8466	473	381517		0.252725316089422
1	26	0.55882352941177	31605	1620	381518		0.252725316089422
0	0	NA	3183	140	382835		NA
1	8	0.55882352941177	17914	1116	385599		0.252725316089422
0	2	0.55882352941177	6550	257	392809		0.252725316089422
0	4	0.55882352941177	17154	762	402527		0.252725316089422
0	5	0.55882352941177	8506	509	442553		0.252725316089422
0	4	0.55882352941177	13454	645	644788		0.252725316089422
1	14	0.55882352941177	23271	1309	694009		0.252725316089422
2	37	0.55882352941177	48375	2483	82830		0.252725316089422
1	18	0.55882352941177	16853	1085	868565		0.252725316089422
0	6	0.55882352941177	16105	945	928302		0.252725316089422
0	0	NA	5305	133	997555		NA
