Top_S	Top_NS	p_val	Virus	Significance	log_p_val
27	12	0.954062023984399	10254		0.02042339070621
28	5	0.585823640894329	10299		0.232233106360826
5	0	0.585823640894329	10360		0.232233106360826
5	1	0.585823640894329	10376		0.232233106360826
15	4	0.585823640894329	10377		0.232233106360826
1	0	0.585823640894329	10407		0.232233106360826
1	0	0.585823640894329	10515		0.232233106360826
65	8	0.293762290031991	10579		0.532003954911108
18	2	0.585823640894329	10580		0.232233106360826
28	9	0.585823640894329	10583		0.232233106360826
27	8	0.585823640894329	10586		0.232233106360826
38	10	0.585823640894329	10588		0.232233106360826
16	4	0.585823640894329	10600		0.232233106360826
17	5	0.585823640894329	10614		0.232233106360826
31	7	0.585823640894329	10621		0.232233106360826
1	5	0.996986791227984	11259		0.00131059548453232
5	2	0.585823640894329	11676		0.232233106360826
3	0	0.585823640894329	11679		0.232233106360826
85	28	0.585823640894329	11706		0.232233106360826
1	1	0.592548187341745	11714		0.227276326084679
0	0	NA	11909		NA
4	1	0.585823640894329	11927		0.232233106360826
8	2	0.585823640894329	1263720		0.232233106360826
5	0	0.585823640894329	1343791		0.232233106360826
8	0	0.585823640894329	158611		0.232233106360826
17	3	0.585823640894329	1891767		0.232233106360826
18	1	0.585823640894329	211044		0.232233106360826
1	0	0.585823640894329	251307		0.232233106360826
1	0	0.585823640894329	261268		0.232233106360826
25	7	0.585823640894329	2697049		0.232233106360826
13	5	0.610988964679352	28285		0.213966633656208
14	1	0.585823640894329	295027		0.232233106360826
11	1	0.585823640894329	31552		0.232233106360826
4	2	0.585823640894329	31684		0.232233106360826
12	3	0.585823640894329	31762		0.232233106360826
1	1	0.592548187341745	329599		0.227276326084679
72	22	0.585823640894329	333760		0.232233106360826
51	10	0.585823640894329	333761		0.232233106360826
21	2	0.585823640894329	333763		0.232233106360826
55	12	0.585823640894329	333923		0.232233106360826
3	0	0.585823640894329	337052		0.232233106360826
26	3	0.585823640894329	33708		0.232233106360826
5	1	0.585823640894329	363744		0.232233106360826
13	1	0.585823640894329	37122		0.232233106360826
3	0	0.585823640894329	37296		0.232233106360826
0	1	0.720315193335933	37959		0.142477424717454
5	0	0.585823640894329	380337		0.232233106360826
4	0	0.585823640894329	381517		0.232233106360826
22	5	0.585823640894329	381518		0.232233106360826
0	0	NA	382835		NA
9	0	0.585823640894329	385599		0.232233106360826
1	1	0.585823640894329	392809		0.232233106360826
4	0	0.585823640894329	402527		0.232233106360826
5	0	0.585823640894329	442553		0.232233106360826
3	1	0.585823640894329	644788		0.232233106360826
11	4	0.585823640894329	694009		0.232233106360826
33	6	0.585823640894329	82830		0.232233106360826
11	8	0.770361081254047	868565		0.113305665945247
3	3	0.685459856270381	928302		0.164017974442318
0	0	NA	997555		NA
