Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
5	30	0.702937280865765	10254		0.153083422902003
5	22	0.702937280865765	10299		0.153083422902003
1	5	0.702937280865765	10360		0.153083422902003
1	2	0.702937280865765	10376		0.153083422902003
3	14	0.702937280865765	10377		0.153083422902003
0	2	0.702937280865765	10407		0.153083422902003
0	0	NA	10515		NA
10	68	0.702937280865765	10579		0.153083422902003
2	15	0.702937280865765	10580		0.153083422902003
5	47	0.702937280865765	10583		0.153083422902003
4	36	0.702937280865765	10586		0.153083422902003
3	39	0.786658511691497	10588		0.104213753883971
0	17	0.844665332216956	10600		0.0733153302945014
5	25	0.702937280865765	10614		0.153083422902003
9	52	0.702937280865765	10621		0.153083422902003
1	7	0.702937280865765	11259		0.153083422902003
0	2	0.702937280865765	11676		0.153083422902003
0	6	0.755245935875203	11679		0.121911603071196
13	70	0.702937280865765	11706		0.153083422902003
1	0	0.702937280865765	11714		0.153083422902003
0	0	NA	11909		NA
0	4	0.702937280865765	11927		0.153083422902003
2	15	0.702937280865765	1263720		0.153083422902003
0	12	0.792614842599025	1343791		0.100937799275992
2	14	0.702937280865765	158611		0.153083422902003
2	13	0.702937280865765	1891767		0.153083422902003
5	29	0.702937280865765	211044		0.153083422902003
0	1	0.702937280865765	251307		0.153083422902003
0	2	0.702937280865765	261268		0.153083422902003
6	32	0.702937280865765	2697049		0.153083422902003
1	21	0.786658511691497	28285		0.104213753883971
3	8	0.702937280865765	295027		0.153083422902003
2	5	0.702937280865765	31552		0.153083422902003
0	3	0.702937280865765	31684		0.153083422902003
3	15	0.702937280865765	31762		0.153083422902003
0	2	0.702937280865765	329599		0.153083422902003
11	91	0.702937280865765	333760		0.153083422902003
7	72	0.786658511691497	333761		0.104213753883971
6	21	0.702937280865765	333763		0.153083422902003
6	72	0.78696981776975	333923		0.104041923584274
0	9	0.786658511691497	337052		0.104213753883971
1	17	0.755245935875203	33708		0.121911603071196
0	13	0.796187664851331	363744		0.0989845551223029
1	11	0.702937280865765	37122		0.153083422902003
0	3	0.702937280865765	37296		0.153083422902003
0	0	NA	37959		NA
0	11	0.792614842599025	380337		0.100937799275992
1	5	0.702937280865765	381517		0.153083422902003
2	29	0.786658511691497	381518		0.104213753883971
0	0	NA	382835		NA
7	12	0.0102789568743658	385599	***	1.98805095603071
1	7	0.702937280865765	392809		0.153083422902003
0	13	0.793023821826084	402527		0.100713766614014
0	9	0.786658511691497	442553		0.104213753883971
0	14	0.79956796346229	644788		0.0971446152170985
2	17	0.702937280865765	694009		0.153083422902003
3	35	0.755245935875203	82830		0.121911603071196
3	13	0.702937280865765	868565		0.153083422902003
3	8	0.702937280865765	928302		0.153083422902003
0	1	0.702937280865765	997555		0.153083422902003
