Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
1	34	0.597636526063439	47551	1965	10254		0.223562867379017
1	26	0.597636526063439	49667	3136	10299		0.223562867379017
0	6	0.597636526063439	5481	412	10360		0.223562867379017
0	3	0.597636526063439	7970	538	10376		0.223562867379017
2	15	0.597636526063439	31378	1797	10377		0.223562867379017
0	2	0.597636526063439	4105	182	10407		0.223562867379017
0	0	NA	2245	167	10515		NA
7	71	0.168925215416929	108974	4409	10579		0.772305518581327
4	13	0.00434162111185851	26236	1042	10580	***	2.36234807959392
5	47	0.231227672463019	48481	1956	10583		0.635960192401912
5	35	0.0865189351581461	55460	2297	10586	***	1.06288883432988
6	36	0.0202085444939832	45874	1933	10588	***	1.69446496510888
1	16	0.597636526063439	27348	839	10600		0.223562867379017
2	28	0.597636526063439	26994	976	10614		0.223562867379017
7	54	0.0865189351581461	68449	3162	10621	***	1.06288883432988
1	7	0.597636526063439	6112	281	11259		0.223562867379017
0	2	0.597636526063439	9615	367	11676		0.223562867379017
0	6	0.597636526063439	6741	232	11679		0.223562867379017
6	77	0.597636526063439	156000	8251	11706		0.223562867379017
0	1	0.597636526063439	6741	255	11714		0.223562867379017
0	0	NA	1884	164	11909		NA
0	4	0.597636526063439	4792	394	11927		0.223562867379017
0	17	0.620290758542964	12267	509	1263720		0.2074046891618
0	12	0.597636526063439	10527	514	1343791		0.223562867379017
1	15	0.597636526063439	18982	712	158611		0.223562867379017
1	14	0.597636526063439	20046	1122	1891767		0.223562867379017
0	34	0.827983590622373	44034	2322	211044		0.0819782701870676
0	1	0.597636526063439	4467	137	251307		0.223562867379017
1	1	0.188170906374668	3336	94	261268		0.72544752319182
1	37	0.660372116099882	37047	2089	2697049		0.180211272901093
1	21	0.597636526063439	28220	1309	28285		0.223562867379017
0	11	0.597636526063439	9079	409	295027		0.223562867379017
1	6	0.597636526063439	21601	767	31552		0.223562867379017
0	3	0.597636526063439	6624	252	31684		0.223562867379017
1	17	0.597636526063439	16053	1139	31762		0.223562867379017
0	2	0.597636526063439	7828	288	329599		0.223562867379017
11	91	0.00434162111185851	141172	5346	333760	***	2.36234807959392
9	70	0.00434162111185851	76490	2785	333761	***	2.36234807959392
1	26	0.597636526063439	25319	1002	333763		0.223562867379017
4	74	0.597636526063439	74418	3312	333923		0.223562867379017
1	8	0.597636526063439	9423	402	337052		0.223562867379017
0	18	0.597636526063439	36213	1138	33708		0.223562867379017
0	13	0.597636526063439	15635	682	363744		0.223562867379017
0	12	0.597636526063439	9210	319	37122		0.223562867379017
0	3	0.597636526063439	2305	74	37296		0.223562867379017
0	0	NA	6675	280	37959		NA
0	11	0.597636526063439	9213	425	380337		0.223562867379017
0	6	0.597636526063439	8466	473	381517		0.223562867379017
2	29	0.597636526063439	31605	1620	381518		0.223562867379017
0	0	NA	3183	140	382835		NA
1	18	0.597636526063439	17914	1116	385599		0.223562867379017
1	7	0.597636526063439	6550	257	392809		0.223562867379017
0	13	0.597636526063439	17154	762	402527		0.223562867379017
0	9	0.597636526063439	8506	509	442553		0.223562867379017
0	14	0.615282817215842	13454	645	644788		0.210925213129982
1	18	0.597636526063439	23271	1309	694009		0.223562867379017
1	37	0.627890599404019	48375	2483	82830		0.202116019024026
1	15	0.597636526063439	16853	1085	868565		0.223562867379017
0	11	0.612130781246602	16105	945	928302		0.213155781276129
0	1	0.597636526063439	5305	133	997555		0.223562867379017
