Top_S	Top_NS	p_val	Virus	Significance	log_p_val
27	8	0.685727110060938	10254		0.163848680464434
23	4	0.60869565217392	10299		0.21559980033935
4	2	0.60869565217392	10360		0.21559980033935
2	1	0.60869565217392	10376		0.21559980033935
11	6	0.794627839696852	10377		0.0998362235558618
1	1	0.60869565217392	10407		0.21559980033935
0	0	NA	10515		NA
65	13	0.60869565217392	10579		0.21559980033935
14	3	0.60869565217392	10580		0.21559980033935
44	8	0.60869565217392	10583		0.21559980033935
32	8	0.60869565217392	10586		0.21559980033935
33	9	0.60869565217392	10588		0.21559980033935
13	4	0.60869565217392	10600		0.21559980033935
24	6	0.60869565217392	10614		0.21559980033935
47	14	0.60869565217392	10621		0.21559980033935
3	5	0.975027070379579	11259		0.0109833265032371
0	2	0.939006266864956	11676		0.0273315092719219
6	0	0.60869565217392	11679		0.21559980033935
64	19	0.60869565217392	11706		0.21559980033935
0	1	0.799196519073126	11714		0.0973464163619357
0	0	NA	11909		NA
3	1	0.60869565217392	11927		0.21559980033935
11	6	0.763192999008605	1263720		0.117365622195309
12	0	0.60869565217392	1343791		0.21559980033935
13	3	0.60869565217392	158611		0.21559980033935
11	4	0.60869565217392	1891767		0.21559980033935
30	4	0.60869565217392	211044		0.21559980033935
1	0	0.60869565217392	251307		0.21559980033935
2	0	0.60869565217392	261268		0.21559980033935
22	16	0.975027070379579	2697049		0.0109833265032371
19	3	0.60869565217392	28285		0.21559980033935
10	1	0.60869565217392	295027		0.21559980033935
6	1	0.60869565217392	31552		0.21559980033935
3	0	0.60869565217392	31684		0.21559980033935
14	4	0.60869565217392	31762		0.21559980033935
1	1	0.616915094815601	329599		0.209774603212142
80	22	0.60869565217392	333760		0.21559980033935
71	8	0.0766117092187135	333761	***	1.11570484837727
22	5	0.60869565217392	333763		0.21559980033935
60	18	0.60869565217392	333923		0.21559980033935
7	2	0.60869565217392	337052		0.21559980033935
17	1	0.60869565217392	33708		0.21559980033935
12	1	0.60869565217392	363744		0.21559980033935
9	3	0.60869565217392	37122		0.21559980033935
2	1	0.60869565217392	37296		0.21559980033935
0	0	NA	37959		NA
10	1	0.60869565217392	380337		0.21559980033935
5	1	0.60869565217392	381517		0.21559980033935
23	8	0.60869565217392	381518		0.21559980033935
0	0	NA	382835		NA
15	4	0.616915094815601	385599		0.209774603212142
7	1	0.60869565217392	392809		0.21559980033935
13	0	0.60869565217392	402527		0.21559980033935
9	0	0.60869565217392	442553		0.21559980033935
13	1	0.60869565217392	644788		0.21559980033935
13	6	0.60869565217392	694009		0.21559980033935
29	9	0.60869565217392	82830		0.21559980033935
9	7	0.800343681615034	868565		0.0967234792866435
7	4	0.60869565217392	928302		0.21559980033935
1	0	0.60869565217392	997555		0.21559980033935
