Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
6	42	0.688885725142399	10254		0.161852814458358
5	28	0.688885725142399	10299		0.161852814458358
0	3	0.688885725142399	10360		0.161852814458358
1	7	0.688885725142399	10376		0.161852814458358
2	19	0.688885725142399	10377		0.161852814458358
0	0	NA	10407		NA
0	1	0.688885725142399	10515		0.161852814458358
13	79	0.688885725142399	10579		0.161852814458358
2	18	0.688885725142399	10580		0.161852814458358
8	47	0.688885725142399	10583		0.161852814458358
5	47	0.688885725142399	10586		0.161852814458358
5	57	0.725010268474472	10588		0.139655842380427
2	20	0.688885725142399	10600		0.161852814458358
3	22	0.688885725142399	10614		0.161852814458358
8	47	0.688885725142399	10621		0.161852814458358
1	4	0.688885725142399	11259		0.161852814458358
2	6	0.688885725142399	11676		0.161852814458358
1	4	0.688885725142399	11679		0.161852814458358
20	91	0.688885725142399	11706		0.161852814458358
1	0	0.688885725142399	11714		0.161852814458358
0	0	NA	11909		NA
0	5	0.688885725142399	11927		0.161852814458358
1	10	0.688885725142399	1263720		0.161852814458358
0	6	0.689344602570532	1343791		0.161563620499605
1	4	0.688885725142399	158611		0.161852814458358
2	13	0.688885725142399	1891767		0.161852814458358
2	24	0.689344602570532	211044		0.161563620499605
0	1	0.688885725142399	251307		0.161852814458358
0	3	0.688885725142399	261268		0.161852814458358
4	34	0.688885725142399	2697049		0.161852814458358
2	19	0.688885725142399	28285		0.161852814458358
0	8	0.725010268474472	295027		0.139655842380427
0	14	0.813996924511024	31552		0.089377235983544
0	5	0.700295040307663	31684		0.154718949440444
4	12	0.688885725142399	31762		0.161852814458358
0	4	0.688885725142399	329599		0.161852814458358
11	98	0.688885725142399	333760		0.161852814458358
9	69	0.688885725142399	333761		0.161852814458358
3	22	0.688885725142399	333763		0.161852814458358
8	67	0.688885725142399	333923		0.161852814458358
0	8	0.725010268474472	337052		0.139655842380427
1	30	0.821514117050903	33708		0.0853849691678971
0	9	0.725010268474472	363744		0.139655842380427
2	17	0.688885725142399	37122		0.161852814458358
0	3	0.688885725142399	37296		0.161852814458358
1	1	0.688885725142399	37959		0.161852814458358
0	7	0.717055158895513	380337		0.144447435290975
0	5	0.688885725142399	381517		0.161852814458358
2	29	0.725010268474472	381518		0.139655842380427
0	0	NA	382835		NA
2	10	0.688885725142399	385599		0.161852814458358
1	2	0.688885725142399	392809		0.161852814458358
0	8	0.717055158895513	402527		0.144447435290975
0	5	0.688885725142399	442553		0.161852814458358
0	7	0.717055158895513	644788		0.144447435290975
2	20	0.688885725142399	694009		0.161852814458358
2	39	0.813996924511024	82830		0.089377235983544
1	15	0.717055158895513	868565		0.144447435290975
3	5	0.688885725142399	928302		0.161852814458358
0	1	0.688885725142399	997555		0.161852814458358
