Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
4	44	0.968096500093526	10254		0.014081349954747
1	32	0.968096500093526	10299		0.014081349954747
0	3	0.968096500093526	10360		0.014081349954747
1	7	0.968096500093526	10376		0.014081349954747
1	20	0.968096500093526	10377		0.014081349954747
0	0	NA	10407		NA
0	1	0.968096500093526	10515		0.014081349954747
7	85	0.968096500093526	10579		0.014081349954747
1	19	0.968096500093526	10580		0.014081349954747
4	51	0.968096500093526	10583		0.014081349954747
6	46	0.968096500093526	10586		0.014081349954747
7	55	0.968096500093526	10588		0.014081349954747
0	22	0.968096500093526	10600		0.014081349954747
1	24	0.968096500093526	10614		0.014081349954747
4	51	0.968096500093526	10621		0.014081349954747
1	4	0.968096500093526	11259		0.014081349954747
1	7	0.968096500093526	11676		0.014081349954747
0	5	0.968096500093526	11679		0.014081349954747
6	105	0.989093099953375	11706		0.004762827823391
0	1	0.968096500093526	11714		0.014081349954747
0	0	NA	11909		NA
0	5	0.968096500093526	11927		0.014081349954747
0	11	0.968096500093526	1263720		0.014081349954747
1	5	0.968096500093526	1343791		0.014081349954747
2	3	0.968096500093526	158611		0.014081349954747
2	13	0.968096500093526	1891767		0.014081349954747
3	23	0.968096500093526	211044		0.014081349954747
0	1	0.968096500093526	251307		0.014081349954747
0	3	0.968096500093526	261268		0.014081349954747
2	36	0.968096500093526	2697049		0.014081349954747
2	19	0.968096500093526	28285		0.014081349954747
0	8	0.968096500093526	295027		0.014081349954747
2	12	0.968096500093526	31552		0.014081349954747
1	4	0.968096500093526	31684		0.014081349954747
1	15	0.968096500093526	31762		0.014081349954747
0	4	0.968096500093526	329599		0.014081349954747
8	101	0.968096500093526	333760		0.014081349954747
6	72	0.968096500093526	333761		0.014081349954747
1	24	0.968096500093526	333763		0.014081349954747
4	71	0.971041915023255	333923		0.0127620233665301
0	8	0.968096500093526	337052		0.014081349954747
1	30	0.968096500093526	33708		0.014081349954747
1	8	0.968096500093526	363744		0.014081349954747
1	18	0.968096500093526	37122		0.014081349954747
0	3	0.968096500093526	37296		0.014081349954747
0	2	0.968096500093526	37959		0.014081349954747
1	6	0.968096500093526	380337		0.014081349954747
0	5	0.968096500093526	381517		0.014081349954747
3	28	0.968096500093526	381518		0.014081349954747
0	0	NA	382835		NA
1	11	0.968096500093526	385599		0.014081349954747
0	3	0.968096500093526	392809		0.014081349954747
1	7	0.968096500093526	402527		0.014081349954747
1	4	0.968096500093526	442553		0.014081349954747
1	6	0.968096500093526	644788		0.014081349954747
1	21	0.968096500093526	694009		0.014081349954747
2	39	0.968096500093526	82830		0.014081349954747
1	15	0.968096500093526	868565		0.014081349954747
1	7	0.968096500093526	928302		0.014081349954747
0	1	0.968096500093526	997555		0.014081349954747
