Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
2	46	0.548076923076927	47551	1965	10254		0.261158483626286
4	29	0.548076923076927	49667	3136	10299		0.261158483626286
1	2	0.548076923076927	5481	412	10360		0.261158483626286
1	7	0.548076923076927	7970	538	10376		0.261158483626286
3	18	0.548076923076927	31378	1797	10377		0.261158483626286
0	0	NA	4105	182	10407		NA
0	1	0.548076923076927	2245	167	10515		0.261158483626286
3	89	0.555670738801788	108974	4409	10579		0.255182472229391
2	18	0.548076923076927	26236	1042	10580		0.261158483626286
3	52	0.548076923076927	48481	1956	10583		0.261158483626286
3	49	0.548076923076927	55460	2297	10586		0.261158483626286
7	55	0.142318162041744	45874	1933	10588		0.84673967355456
2	20	0.548076923076927	27348	839	10600		0.261158483626286
0	25	0.694163222245902	26994	976	10614		0.158538399593984
4	51	0.548076923076927	68449	3162	10621		0.261158483626286
1	4	0.548076923076927	6112	281	11259		0.261158483626286
0	8	0.548076923076927	9615	367	11676		0.261158483626286
0	5	0.548076923076927	6741	232	11679		0.261158483626286
14	97	0.0163068194899689	156000	8251	11706	***	1.78763073624058
0	1	0.548076923076927	6741	255	11714		0.261158483626286
0	0	NA	1884	164	11909		NA
1	4	0.548076923076927	4792	394	11927		0.261158483626286
0	11	0.548076923076927	12267	509	1263720		0.261158483626286
0	6	0.548076923076927	10527	514	1343791		0.261158483626286
0	5	0.548076923076927	18982	712	158611		0.261158483626286
2	13	0.548076923076927	20046	1122	1891767		0.261158483626286
2	24	0.548076923076927	44034	2322	211044		0.261158483626286
0	1	0.548076923076927	4467	137	251307		0.261158483626286
1	2	0.548076923076927	3336	94	261268		0.261158483626286
4	34	0.548076923076927	37047	2089	2697049		0.261158483626286
0	21	0.700760520001764	28220	1309	28285		0.154430373775422
1	7	0.548076923076927	9079	409	295027		0.261158483626286
2	12	0.548076923076927	21601	767	31552		0.261158483626286
0	5	0.548076923076927	6624	252	31684		0.261158483626286
0	16	0.726078117851331	16053	1139	31762		0.139016651577221
0	4	0.548076923076927	7828	288	329599		0.261158483626286
5	104	0.548076923076927	141172	5346	333760		0.261158483626286
5	73	0.548076923076927	76490	2785	333761		0.261158483626286
1	24	0.548076923076927	25319	1002	333763		0.261158483626286
1	74	0.833951693675879	74418	3312	333923		0.0788591049708947
1	7	0.548076923076927	9423	402	337052		0.261158483626286
1	30	0.548076923076927	36213	1138	33708		0.261158483626286
0	9	0.548076923076927	15635	682	363744		0.261158483626286
1	18	0.548076923076927	9210	319	37122		0.261158483626286
0	3	0.548076923076927	2305	74	37296		0.261158483626286
1	1	0.548076923076927	6675	280	37959		0.261158483626286
0	7	0.548076923076927	9213	425	380337		0.261158483626286
1	4	0.548076923076927	8466	473	381517		0.261158483626286
2	29	0.548076923076927	31605	1620	381518		0.261158483626286
0	0	NA	3183	140	382835		NA
2	10	0.548076923076927	17914	1116	385599		0.261158483626286
1	2	0.548076923076927	6550	257	392809		0.261158483626286
0	8	0.548076923076927	17154	762	402527		0.261158483626286
0	5	0.548076923076927	8506	509	442553		0.261158483626286
0	7	0.548076923076927	13454	645	644788		0.261158483626286
1	21	0.548076923076927	23271	1309	694009		0.261158483626286
4	37	0.548076923076927	48375	2483	82830		0.261158483626286
2	14	0.548076923076927	16853	1085	868565		0.261158483626286
0	8	0.548076923076927	16105	945	928302		0.261158483626286
0	1	0.548076923076927	5305	133	997555		0.261158483626286
