Top_S	Top_NS	p_val	Virus	Significance	log_p_val
34	14	0.962055489393317	10254		0.0167998780221397
30	3	0.501054322293342	10299		0.300115187120122
3	0	0.643771723693849	10360		0.191268102694546
5	3	0.719510760692405	10376		0.142962706557971
14	7	0.793751960079397	10377		0.100315189258248
0	0	NA	10407		NA
1	0	0.643771723693849	10515		0.191268102694546
81	11	0.102034270465423	10579		0.991253936333438
17	3	0.643771723693849	10580		0.191268102694546
39	16	0.793751960079397	10583		0.100315189258248
41	11	0.643771723693849	10586		0.191268102694546
53	9	0.206124613127823	10588		0.685870146467422
18	4	0.643771723693849	10600		0.191268102694546
21	4	0.643771723693849	10614		0.191268102694546
45	10	0.643771723693849	10621		0.191268102694546
1	4	0.987824954226354	11259		0.00532000697998052
5	3	0.643771723693849	11676		0.191268102694546
5	0	0.643771723693849	11679		0.191268102694546
81	30	0.643771723693849	11706		0.191268102694546
0	1	0.814635533072446	11714		0.0890366506203525
0	0	NA	11909		NA
4	1	0.643771723693849	11927		0.191268102694546
7	4	0.751542007766146	1263720		0.124046739320381
6	0	0.643771723693849	1343791		0.191268102694546
4	1	0.643771723693849	158611		0.191268102694546
12	3	0.643771723693849	1891767		0.191268102694546
21	5	0.643771723693849	211044		0.191268102694546
1	0	0.643771723693849	251307		0.191268102694546
3	0	0.643771723693849	261268		0.191268102694546
28	10	0.643771723693849	2697049		0.191268102694546
16	5	0.643771723693849	28285		0.191268102694546
7	1	0.643771723693849	295027		0.191268102694546
14	0	0.632661958381096	31552		0.198828278646383
3	2	0.643771723693849	31684		0.191268102694546
12	4	0.643771723693849	31762		0.191268102694546
2	2	0.814635533072446	329599		0.0890366506203525
78	31	0.821643431359787	333760		0.0853166123740526
70	8	0.0908900220151783	333761	***	1.04148379138311
19	6	0.643771723693849	333763		0.191268102694546
63	12	0.643771723693849	333923		0.191268102694546
7	1	0.643771723693849	337052		0.191268102694546
27	4	0.643771723693849	33708		0.191268102694546
8	1	0.643771723693849	363744		0.191268102694546
16	3	0.643771723693849	37122		0.191268102694546
3	0	0.643771723693849	37296		0.191268102694546
1	1	0.643771723693849	37959		0.191268102694546
7	0	0.643771723693849	380337		0.191268102694546
5	0	0.643771723693849	381517		0.191268102694546
22	9	0.719510760692405	381518		0.142962706557971
0	0	NA	382835		NA
11	1	0.643771723693849	385599		0.191268102694546
2	1	0.643771723693849	392809		0.191268102694546
8	0	0.643771723693849	402527		0.191268102694546
5	0	0.643771723693849	442553		0.191268102694546
6	1	0.643771723693849	644788		0.191268102694546
15	7	0.643771723693849	694009		0.191268102694546
32	9	0.643771723693849	82830		0.191268102694546
9	7	0.814635533072446	868565		0.0890366506203525
2	6	0.987824954226354	928302		0.00532000697998052
1	0	0.643771723693849	997555		0.191268102694546
