Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
4	49	0.568627450980399	47551	1965	10254		0.245172178198975
1	30	0.623802089868794	49667	3136	10299		0.204953174598168
1	9	0.568627450980399	5481	412	10360		0.245172178198975
0	6	0.568627450980399	7970	538	10376		0.245172178198975
3	21	0.568627450980399	31378	1797	10377		0.245172178198975
0	1	0.568627450980399	4105	182	10407		0.245172178198975
0	0	NA	2245	167	10515		NA
8	77	0.107620449123071	108974	4409	10579		0.96810519988231
2	21	0.568627450980399	26236	1042	10580		0.245172178198975
5	48	0.339046569846613	48481	1956	10583		0.469740645046665
2	42	0.568627450980399	55460	2297	10586		0.245172178198975
3	38	0.568627450980399	45874	1933	10588		0.245172178198975
1	20	0.568627450980399	27348	839	10600		0.245172178198975
1	35	0.568627450980399	26994	976	10614		0.245172178198975
8	65	0.10716148500706	68449	3162	10621		0.969961276718335
1	8	0.568627450980399	6112	281	11259		0.245172178198975
0	5	0.568627450980399	9615	367	11676		0.245172178198975
0	7	0.568627450980399	6741	232	11679		0.245172178198975
6	103	0.568627450980399	156000	8251	11706		0.245172178198975
0	4	0.568627450980399	6741	255	11714		0.245172178198975
0	4	0.568627450980399	1884	164	11909		0.245172178198975
0	3	0.568627450980399	4792	394	11927		0.245172178198975
0	16	0.611978220286736	12267	509	1263720		0.213264033700192
1	14	0.568627450980399	10527	514	1343791		0.245172178198975
1	16	0.568627450980399	18982	712	158611		0.245172178198975
1	18	0.568627450980399	20046	1122	1891767		0.245172178198975
2	37	0.568627450980399	44034	2322	211044		0.245172178198975
1	1	0.322525540424298	4467	137	251307		0.491435888389512
2	0	1.1082806270518e-08	3336	94	261268		7.95535025824581
5	48	0.568627450980399	37047	2089	2697049		0.245172178198975
1	28	0.568627450980399	28220	1309	28285		0.245172178198975
2	12	0.568627450980399	9079	409	295027		0.245172178198975
1	11	0.568627450980399	21601	767	31552		0.245172178198975
0	4	0.568627450980399	6624	252	31684		0.245172178198975
3	20	0.568627450980399	16053	1139	31762		0.245172178198975
1	6	0.568627450980399	7828	288	329599		0.245172178198975
11	123	0.0937948007816239	141172	5346	333760	***	1.02782123469591
6	74	0.370631259166842	76490	2785	333761		0.431057954927636
1	36	0.568627450980399	25319	1002	333763		0.245172178198975
5	79	0.568627450980399	74418	3312	333923		0.245172178198975
1	10	0.568627450980399	9423	402	337052		0.245172178198975
0	28	0.662562350988214	36213	1138	33708		0.178773245819907
1	16	0.568627450980399	15635	682	363744		0.245172178198975
0	14	0.568627450980399	9210	319	37122		0.245172178198975
0	2	0.568627450980399	2305	74	37296		0.245172178198975
1	1	0.422889533228394	6675	280	37959		0.373773063771059
0	14	0.611978220286736	9213	425	380337		0.213264033700192
0	6	0.568627450980399	8466	473	381517		0.245172178198975
3	34	0.568627450980399	31605	1620	381518		0.245172178198975
0	0	NA	3183	140	382835		NA
1	14	0.568627450980399	17914	1116	385599		0.245172178198975
0	6	0.568627450980399	6550	257	392809		0.245172178198975
2	17	0.568627450980399	17154	762	402527		0.245172178198975
0	12	0.619986934688098	8506	509	442553		0.20761746252215
2	16	0.568627450980399	13454	645	644788		0.245172178198975
0	19	0.699566196153133	23271	1309	694009		0.155171184297496
2	41	0.568627450980399	48375	2483	82830		0.245172178198975
2	19	0.568627450980399	16853	1085	868565		0.245172178198975
0	10	0.591034991651586	16105	945	928302		0.228386806375368
1	0	0.0301230055966096	5305	133	997555		1.52110169751451
