Top_S	Top_NS	p_val	Virus	Significance	log_p_val
42	11	0.667406052105785	10254		0.175609859436952
29	2	0.563347673444654	10299		0.249223494925012
8	2	0.667406052105785	10360		0.175609859436952
4	2	0.667406052105785	10376		0.175609859436952
16	8	0.81675941377847	10377		0.0879058512467919
1	0	0.667406052105785	10407		0.175609859436952
0	0	NA	10515		NA
69	16	0.563347673444654	10579		0.249223494925012
15	8	0.81675941377847	10580		0.0879058512467919
43	10	0.571691956852414	10583		0.242837917842026
34	10	0.667406052105785	10586		0.175609859436952
33	8	0.563347673444654	10588		0.249223494925012
17	4	0.667406052105785	10600		0.175609859436952
28	8	0.667406052105785	10614		0.175609859436952
60	13	0.563347673444654	10621		0.249223494925012
4	5	0.95065397349324	11259		0.021977532220037
3	2	0.667406052105785	11676		0.175609859436952
7	0	0.563347673444654	11679		0.249223494925012
82	27	0.563347673444654	11706		0.249223494925012
3	1	0.667406052105785	11714		0.175609859436952
1	3	0.860459249306593	11909		0.0652696927046384
2	1	0.667406052105785	11927		0.175609859436952
11	5	0.684286915102908	1263720		0.164761764479701
15	0	0.563347673444654	1343791		0.249223494925012
12	5	0.81675941377847	158611		0.0879058512467919
16	3	0.571691956852414	1891767		0.242837917842026
34	5	0.571691956852414	211044		0.242837917842026
2	0	0.667406052105785	251307		0.175609859436952
2	0	0.667406052105785	261268		0.175609859436952
35	18	0.831598906036382	2697049		0.0800860906521065
24	5	0.667406052105785	28285		0.175609859436952
12	2	0.571691956852414	295027		0.242837917842026
11	1	0.656044287058983	31552		0.18306684206317
4	0	0.571691956852414	31684		0.242837917842026
19	4	0.563347673444654	31762		0.249223494925012
4	3	0.831598906036382	329599		0.0800860906521065
104	30	0.667406052105785	333760		0.175609859436952
68	12	0.563347673444654	333761		0.249223494925012
30	7	0.667406052105785	333763		0.175609859436952
62	22	0.81675941377847	333923		0.0879058512467919
8	3	0.764711156910014	337052		0.116502573536573
26	2	0.563347673444654	33708		0.249223494925012
16	1	0.571691956852414	363744		0.242837917842026
10	4	0.667406052105785	37122		0.175609859436952
2	0	0.667406052105785	37296		0.175609859436952
1	1	0.667406052105785	37959		0.175609859436952
14	0	0.563347673444654	380337		0.249223494925012
5	1	0.667406052105785	381517		0.175609859436952
28	9	0.667406052105785	381518		0.175609859436952
0	0	NA	382835		NA
11	4	0.81675941377847	385599		0.0879058512467919
5	1	0.667406052105785	392809		0.175609859436952
19	0	0.563347673444654	402527		0.249223494925012
12	0	0.563347673444654	442553		0.249223494925012
17	1	0.563347673444654	644788		0.249223494925012
14	5	0.667406052105785	694009		0.175609859436952
30	13	0.831598906036382	82830		0.0800860906521065
13	8	0.771475944828818	868565		0.112677611001969
5	5	0.82093981902757	928302		0.0856886787175988
1	0	0.667406052105785	997555		0.175609859436952
