Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
8	34	0.300641908986755	10254		0.52195047959393
3	29	0.690476190476198	10299		0.16085129249894
0	5	0.729326048025067	10360		0.137078275246087
1	6	0.690476190476198	10376		0.16085129249894
2	17	0.690476190476198	10377		0.16085129249894
0	3	0.690476190476198	10407		0.16085129249894
0	0	NA	10515		NA
18	83	0.185801510565274	10579		0.730950759516239
3	14	0.690476190476198	10580		0.16085129249894
8	40	0.690476190476198	10583		0.16085129249894
6	43	0.690476190476198	10586		0.16085129249894
4	40	0.725785800609376	10588		0.139191532659735
2	18	0.690476190476198	10600		0.16085129249894
8	22	0.074719060084785	10614	***	1.12656859987431
13	44	0.074719060084785	10621	***	1.12656859987431
2	5	0.690476190476198	11259		0.16085129249894
1	7	0.690476190476198	11676		0.16085129249894
1	5	0.690476190476198	11679		0.16085129249894
12	96	0.690476190476198	11706		0.16085129249894
1	2	0.690476190476198	11714		0.16085129249894
1	3	0.690476190476198	11909		0.16085129249894
0	1	0.690476190476198	11927		0.16085129249894
2	14	0.690476190476198	1263720		0.16085129249894
0	12	0.772770978114581	1343791		0.111949196480458
2	15	0.690476190476198	158611		0.16085129249894
3	20	0.690476190476198	1891767		0.16085129249894
2	27	0.729326048025067	211044		0.137078275246087
0	4	0.690476190476198	251307		0.16085129249894
0	4	0.690476190476198	261268		0.16085129249894
4	47	0.751147564634106	2697049		0.124274736483269
4	16	0.690476190476198	28285		0.16085129249894
1	5	0.690476190476198	295027		0.16085129249894
3	9	0.690476190476198	31552		0.16085129249894
0	6	0.729326048025067	31684		0.137078275246087
3	8	0.690476190476198	31762		0.16085129249894
0	4	0.690476190476198	329599		0.16085129249894
15	125	0.690476190476198	333760		0.16085129249894
6	59	0.729326048025067	333761		0.137078275246087
7	24	0.215442485550874	333763		0.666668649130513
9	66	0.690476190476198	333923		0.16085129249894
0	7	0.729326048025067	337052		0.137078275246087
1	21	0.756471582400413	33708		0.121207382034052
0	10	0.764090825203544	363744		0.116855015062692
3	5	0.285589185853674	37122		0.544258241619232
0	2	0.690476190476198	37296		0.16085129249894
1	3	0.690476190476198	37959		0.16085129249894
0	7	0.729326048025067	380337		0.137078275246087
1	4	0.690476190476198	381517		0.16085129249894
2	32	0.772770978114581	381518		0.111949196480458
0	0	NA	382835		NA
4	10	0.285589185853674	385599		0.544258241619232
0	1	0.690476190476198	392809		0.16085129249894
0	16	0.816315707912071	402527		0.0881418465314515
0	9	0.751147564634106	442553		0.124274736483269
0	12	0.772770978114581	644788		0.111949196480458
2	14	0.690476190476198	694009		0.16085129249894
1	32	0.853335227693251	82830		0.0688803252955327
1	11	0.690476190476198	868565		0.16085129249894
2	6	0.690476190476198	928302		0.16085129249894
0	3	0.690476190476198	997555		0.16085129249894
