Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
9	33	0.879784671207684	10254		0.0556236091560554
3	29	0.915188886174101	10299		0.0384892624830521
0	5	0.879784671207684	10360		0.0556236091560554
1	6	0.879784671207684	10376		0.0556236091560554
1	18	0.977343461667137	10377		0.00995278807865231
0	3	0.879784671207684	10407		0.0556236091560554
0	0	NA	10515		NA
5	96	0.977343461667137	10579		0.00995278807865231
0	17	0.977343461667137	10580		0.00995278807865231
5	43	0.879784671207684	10583		0.0556236091560554
6	43	0.879784671207684	10586		0.0556236091560554
6	38	0.879784671207684	10588		0.0556236091560554
2	18	0.879784671207684	10600		0.0556236091560554
1	29	0.977343461667137	10614		0.00995278807865231
4	53	0.977343461667137	10621		0.00995278807865231
1	6	0.879784671207684	11259		0.0556236091560554
1	7	0.879784671207684	11676		0.0556236091560554
0	6	0.915188886174101	11679		0.0384892624830521
8	100	0.977343461667137	11706		0.00995278807865231
1	2	0.879784671207684	11714		0.0556236091560554
0	4	0.879784671207684	11909		0.0556236091560554
0	1	0.879784671207684	11927		0.0556236091560554
0	16	0.977343461667137	1263720		0.00995278807865231
2	10	0.879784671207684	1343791		0.0556236091560554
2	15	0.879784671207684	158611		0.0556236091560554
3	20	0.879784671207684	1891767		0.0556236091560554
3	26	0.879784671207684	211044		0.0556236091560554
1	3	0.879784671207684	251307		0.0556236091560554
1	3	0.879784671207684	261268		0.0556236091560554
3	48	0.977343461667137	2697049		0.00995278807865231
3	17	0.879784671207684	28285		0.0556236091560554
1	5	0.879784671207684	295027		0.0556236091560554
0	12	0.977343461667137	31552		0.00995278807865231
2	4	0.879784671207684	31684		0.0556236091560554
0	11	0.977343461667137	31762		0.00995278807865231
0	4	0.879784671207684	329599		0.0556236091560554
14	126	0.977343461667137	333760		0.00995278807865231
9	56	0.879784671207684	333761		0.0556236091560554
3	28	0.879784671207684	333763		0.0556236091560554
6	69	0.977343461667137	333923		0.00995278807865231
0	7	0.915188886174101	337052		0.0384892624830521
0	22	0.977343461667137	33708		0.00995278807865231
2	8	0.879784671207684	363744		0.0556236091560554
1	7	0.879784671207684	37122		0.0556236091560554
0	2	0.879784671207684	37296		0.0556236091560554
0	4	0.879784671207684	37959		0.0556236091560554
1	6	0.879784671207684	380337		0.0556236091560554
0	5	0.879784671207684	381517		0.0556236091560554
3	31	0.954435315798105	381518		0.0202534993749307
0	0	NA	382835		NA
0	14	0.977343461667137	385599		0.00995278807865231
0	1	0.879784671207684	392809		0.0556236091560554
3	13	0.879784671207684	402527		0.0556236091560554
1	8	0.879784671207684	442553		0.0556236091560554
2	10	0.879784671207684	644788		0.0556236091560554
0	16	0.977343461667137	694009		0.00995278807865231
0	33	0.977343461667137	82830		0.00995278807865231
2	10	0.879784671207684	868565		0.0556236091560554
1	7	0.879784671207684	928302		0.0556236091560554
1	2	0.879784671207684	997555		0.0556236091560554
