Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val
4	38	0.213367772665344	47551	1965	10254		0.670871176338693
2	30	0.568627450980413	49667	3136	10299		0.245172178198964
1	4	0.568627450980413	5481	412	10360		0.245172178198964
0	7	0.568627450980413	7970	538	10376		0.245172178198964
3	16	0.213367772665344	31378	1797	10377		0.670871176338693
0	3	0.568627450980413	4105	182	10407		0.245172178198964
0	0	NA	2245	167	10515		NA
7	94	0.255862283692346	108974	4409	10579		0.591993728147625
3	14	0.0541504775400883	26236	1042	10580	***	1.26639770908278
5	43	0.117076644983963	48481	1956	10583		0.931529731453728
3	46	0.568627450980413	55460	2297	10586		0.245172178198964
3	41	0.568627450980413	45874	1933	10588		0.245172178198964
4	16	0.000954468508327436	27348	839	10600	***	3.02023839611813
2	28	0.568627450980413	26994	976	10614		0.245172178198964
6	51	0.121226453501173	68449	3162	10621		0.916402600004727
0	7	0.568627450980413	6112	281	11259		0.245172178198964
0	8	0.568627450980413	9615	367	11676		0.245172178198964
0	6	0.568627450980413	6741	232	11679		0.245172178198964
5	103	0.568627450980413	156000	8251	11706		0.245172178198964
0	3	0.568627450980413	6741	255	11714		0.245172178198964
0	4	0.568627450980413	1884	164	11909		0.245172178198964
0	1	0.568627450980413	4792	394	11927		0.245172178198964
0	16	0.623524979160071	12267	509	1263720		0.205146143478013
2	10	0.259498825685049	10527	514	1343791		0.585864603132122
3	14	0.0484454801195666	18982	712	158611	***	1.3147467356555
0	23	0.748452506021634	20046	1122	1891767		0.125835753139433
4	25	0.148771054446779	44034	2322	211044		0.827481558822966
1	3	0.330413698952285	4467	137	251307		0.480941955128735
2	2	0.000295585424364884	3336	94	261268		3.52931698527711
6	45	0.148771054446779	37047	2089	2697049		0.827481558822966
0	20	0.674431127152371	28220	1309	28285		0.171062393842167
1	5	0.568627450980413	9079	409	295027		0.245172178198964
2	10	0.148771054446779	21601	767	31552		0.827481558822966
0	6	0.568627450980413	6624	252	31684		0.245172178198964
0	11	0.642501278405656	16053	1139	31762		0.192126003865976
1	3	0.402461362074661	7828	288	329599		0.395275807328973
11	129	0.0484454801195666	141172	5346	333760	***	1.3147467356555
8	57	0.00229555678892446	76490	2785	333761	***	2.63911195891562
1	30	0.568627450980413	25319	1002	333763		0.245172178198964
5	70	0.528538443461223	74418	3312	333923		0.276923418619805
2	5	0.0541504775400883	9423	402	337052		1.26639770908278
0	22	0.626909490135199	36213	1138	33708		0.202795155775726
2	8	0.148771054446779	15635	682	363744		0.827481558822966
0	8	0.568627450980413	9210	319	37122		0.245172178198964
0	2	0.568627450980413	2305	74	37296		0.245172178198964
2	2	0.00272229331194997	6675	280	37959		2.56506508379887
1	6	0.568627450980413	9213	425	380337		0.245172178198964
0	5	0.568627450980413	8466	473	381517		0.245172178198964
4	30	0.213367772665344	31605	1620	381518		0.670871176338693
0	0	NA	3183	140	382835		NA
1	13	0.568627450980413	17914	1116	385599		0.245172178198964
0	1	0.568627450980413	6550	257	392809		0.245172178198964
4	12	0.00229555678892446	17154	762	402527	***	2.63911195891562
1	8	0.568627450980413	8506	509	442553		0.245172178198964
4	8	0.000437289151163899	13454	645	644788	***	3.35923129706196
0	16	0.674431127152371	23271	1309	694009		0.171062393842167
1	32	0.597598343225865	48375	2483	82830		0.223590615223551
1	11	0.568627450980413	16853	1085	868565		0.245172178198964
0	8	0.568627450980413	16105	945	928302		0.245172178198964
2	1	2.78847053621629e-06	5305	133	997555		5.5546339400289
