Top_S	Top_NS	p_val	Virus	Significance	log_p_val
31	11	0.864590479052993	10254		0.0631895512653722
28	4	0.690476190476205	10299		0.160851292498935
4	1	0.690476190476205	10360		0.160851292498935
4	3	0.835500713084025	10376		0.0780531751083218
12	7	0.864590479052993	10377		0.0631895512653722
2	1	0.690476190476205	10407		0.160851292498935
0	0	NA	10515		NA
80	21	0.690476190476205	10579		0.160851292498935
9	8	0.962161065328056	10580		0.0167522211762277
36	12	0.690476190476205	10583		0.160851292498935
35	14	0.848361550977467	10586		0.071419022589126
31	13	0.690476190476205	10588		0.160851292498935
18	2	0.690476190476205	10600		0.160851292498935
24	6	0.690476190476205	10614		0.160851292498935
47	10	0.690476190476205	10621		0.160851292498935
2	5	0.989808407483436	11259		0.00444886158956686
6	2	0.690476190476205	11676		0.160851292498935
6	0	0.690476190476205	11679		0.160851292498935
76	32	0.690476190476205	11706		0.160851292498935
2	1	0.690476190476205	11714		0.160851292498935
1	3	0.891748676554105	11909		0.0497575265263909
1	0	0.690476190476205	11927		0.160851292498935
11	5	0.712437049927087	1263720		0.14725350335746
11	1	0.690476190476205	1343791		0.160851292498935
13	4	0.690476190476205	158611		0.160851292498935
18	5	0.690476190476205	1891767		0.160851292498935
23	6	0.690476190476205	211044		0.160851292498935
4	0	0.690476190476205	251307		0.160851292498935
4	0	0.690476190476205	261268		0.160851292498935
34	17	0.848361550977467	2697049		0.071419022589126
15	5	0.690476190476205	28285		0.160851292498935
5	1	0.690476190476205	295027		0.160851292498935
10	2	0.690476190476205	31552		0.160851292498935
4	2	0.690476190476205	31684		0.160851292498935
9	2	0.690476190476205	31762		0.160851292498935
3	1	0.690476190476205	329599		0.160851292498935
108	32	0.690476190476205	333760		0.160851292498935
54	11	0.690476190476205	333761		0.160851292498935
26	5	0.690476190476205	333763		0.160851292498935
63	12	0.690476190476205	333923		0.160851292498935
5	2	0.712437049927087	337052		0.14725350335746
17	5	0.712437049927087	33708		0.14725350335746
10	0	0.690476190476205	363744		0.160851292498935
6	2	0.690476190476205	37122		0.160851292498935
2	0	0.690476190476205	37296		0.160851292498935
2	2	0.824308950312747	37959		0.0839099845790384
7	0	0.690476190476205	380337		0.160851292498935
4	1	0.690476190476205	381517		0.160851292498935
22	12	0.89600571145978	381518		0.0476892219812226
0	0	NA	382835		NA
10	4	0.848361550977467	385599		0.071419022589126
1	0	0.690476190476205	392809		0.160851292498935
15	1	0.690476190476205	402527		0.160851292498935
8	1	0.690476190476205	442553		0.160851292498935
11	1	0.690476190476205	644788		0.160851292498935
12	4	0.690476190476205	694009		0.160851292498935
23	10	0.848361550977467	82830		0.071419022589126
8	4	0.690476190476205	868565		0.160851292498935
4	4	0.847972096984285	928302		0.0716184382210319
3	0	0.690476190476205	997555		0.160851292498935
