Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val	organism	Category
0	86	0.875835074362569	101121	2634	10254		0.0575776667059991	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
9	75	0.0553214367419796	132102	5900	10299	***	1.25710654944105	Human herpesvirus 1 (strain 17)	Human_viruses
0	7	0.62142633921365	11900	610	10360		0.206610343078596	Human cytomegalovirus (strain AD169)	Human_viruses
0	22	0.62142633921365	42502	1154	10376		0.206610343078596	Epstein-Barr virus (strain GD1)	Human_viruses
4	55	0.487725482184231	108422	3726	10377		0.311824553239906	Epstein-Barr virus (strain B95-8)	Human_viruses
0	7	0.62142633921365	10858	326	10407		0.206610343078596	Hepatitis B virus	Human_viruses
1	3	0.62142633921365	8491	391	10515		0.206610343078596	Human adenovirus C serotype 2	Human_viruses
10	130	0.0553214367419796	197443	6239	10579	***	1.25710654944105	Human papillomavirus type 8	Human_viruses
5	25	0.000401016437686798	55801	1520	10580	***	3.39683782525922	Human papillomavirus 11	Human_viruses
5	61	0.243436566214423	98081	3273	10583		0.613614186531608	Human papillomavirus type 1	Human_viruses
5	66	0.267627708574243	121704	3921	10586		0.572468924320036	Human papillomavirus 33	Human_viruses
6	59	0.0553214367419796	84022	2679	10588	***	1.25710654944105	Human papillomavirus 39	Human_viruses
2	30	0.601282564468312	53755	1221	10600		0.220921389310971	Human papillomavirus type 6b	Human_viruses
3	32	0.243436566214423	52291	1434	10614		0.613614186531608	Human papillomavirus 3	Human_viruses
7	82	0.142931957852818	137019	4880	10621		0.844870657371273	Human papillomavirus 9	Human_viruses
0	9	0.62142633921365	12362	331	11259		0.206610343078596	Human respiratory syncytial virus A (strain A2)	Human_viruses
0	8	0.62142633921365	12396	496	11676		0.206610343078596	Human immunodeficiency virus 1	Human_viruses
0	4	0.62142633921365	12315	323	11679		0.206610343078596	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
14	204	0.130044224460244	341344	12488	11706		0.885908930978638	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
0	8	0.62142633921365	16938	323	11714		0.206610343078596	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
0	6	0.62142633921365	13884	461	11909		0.206610343078596	Human T-cell leukemia virus 2	Human_viruses
2	16	0.46474804474253	35660	1227	11927		0.332782428687459	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
