Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
64	21	0.88756385223767	10254		0.0518003935664265	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
85	17	0.298314172211018	10299		0.525326113829234	Human herpesvirus 1 (strain 17)	Human_viruses
13	1	0.322274459005156	10360		0.491774111964107	Human cytomegalovirus (strain AD169)	Human_viruses
32	4	0.298314172211018	10376		0.525326113829234	Epstein-Barr virus (strain GD1)	Human_viruses
67	10	0.298314172211018	10377		0.525326113829234	Epstein-Barr virus (strain B95-8)	Human_viruses
7	2	0.552631578947372	10407		0.257564301882888	Hepatitis B virus	Human_viruses
5	0	0.459744385531967	10515		0.337483565727458	Human adenovirus C serotype 2	Human_viruses
129	19	0.0388950937526805	10579	***	1.41010517735088	Human papillomavirus type 8	Human_viruses
25	3	0.298314172211018	10580		0.525326113829234	Human papillomavirus 11	Human_viruses
58	15	0.398383747391669	10583		0.399698387522665	Human papillomavirus type 1	Human_viruses
52	18	0.646130060470324	10586		0.189680053430202	Human papillomavirus 33	Human_viruses
63	15	0.322274459005156	10588		0.491774111964107	Human papillomavirus 39	Human_viruses
26	6	0.552631578947372	10600		0.257564301882888	Human papillomavirus type 6b	Human_viruses
25	9	0.552631578947372	10614		0.257564301882888	Human papillomavirus 3	Human_viruses
55	18	0.552631578947372	10621		0.257564301882888	Human papillomavirus 9	Human_viruses
7	6	0.88756385223767	11259		0.0518003935664265	Human respiratory syncytial virus A (strain A2)	Human_viruses
5	2	0.552631578947372	11676		0.257564301882888	Human immunodeficiency virus 1	Human_viruses
6	0	0.322274459005156	11679		0.491774111964107	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
183	64	0.496133255012586	11706		0.304401661928896	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
3	4	0.934847662261087	11714		0.0292591536511139	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
5	2	0.552631578947372	11909		0.257564301882888	Human T-cell leukemia virus 2	Human_viruses
15	5	0.552631578947372	11927		0.257564301882888	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
15	5	0.552631578947372	1263720		0.257564301882888	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012)	Non-human_viruses_that_infect_humans
17	1	0.322274459005156	1343791		0.491774111964107	Influenza A virus	Human_viruses
60	18	0.631496669498684	158611		0.199628935563374	Influenza A virus	Human_viruses
42	10	0.322274459005156	1891767		0.491774111964107	Simian virus 40	Non-human_viruses_that_do_not_infect_humans
66	9	0.298314172211018	211044		0.525326113829234	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	Human_viruses
11	1	0.496133255012586	251307		0.304401661928896	Influenza A virus	Human_viruses
4	1	0.552631578947372	261268		0.257564301882888	Influenza A virus	Human_viruses
90	27	0.441658219060618	2697049		0.354913683127089	Severe acute respiratory syndrome coronavirus 2	Non-human_viruses_that_infect_humans
