Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val	organism	Category
5	62	0.879206544769796	10254		0.0559090877060073	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
12	77	0.828947368421065	10299		0.0814730428272033	Human herpesvirus 1 (strain 17)	Human_viruses
3	13	0.828947368421065	10360		0.0814730428272033	Human cytomegalovirus (strain AD169)	Human_viruses
6	25	0.828947368421065	10376		0.0814730428272033	Epstein-Barr virus (strain GD1)	Human_viruses
9	68	0.828947368421065	10377		0.0814730428272033	Epstein-Barr virus (strain B95-8)	Human_viruses
0	10	0.886142639118628	10407		0.0524963657019616	Hepatitis B virus	Human_viruses
0	1	0.828947368421065	10515		0.0814730428272033	Human adenovirus C serotype 2	Human_viruses
14	125	0.828947368421065	10579		0.0814730428272033	Human papillomavirus type 8	Human_viruses
5	29	0.828947368421065	10580		0.0814730428272033	Human papillomavirus 11	Human_viruses
11	77	0.828947368421065	10583		0.0814730428272033	Human papillomavirus type 1	Human_viruses
6	82	0.886142639118628	10586		0.0524963657019616	Human papillomavirus 33	Human_viruses
10	69	0.828947368421065	10588		0.0814730428272033	Human papillomavirus 39	Human_viruses
1	25	0.886142639118628	10600		0.0524963657019616	Human papillomavirus type 6b	Human_viruses
7	45	0.828947368421065	10614		0.0814730428272033	Human papillomavirus 3	Human_viruses
12	97	0.828947368421065	10621		0.0814730428272033	Human papillomavirus 9	Human_viruses
2	9	0.828947368421065	11259		0.0814730428272033	Human respiratory syncytial virus A (strain A2)	Human_viruses
0	3	0.828947368421065	11676		0.0814730428272033	Human immunodeficiency virus 1	Human_viruses
0	6	0.879206544769796	11679		0.0559090877060073	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
30	195	0.828947368421065	11706		0.0814730428272033	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
2	6	0.828947368421065	11714		0.0814730428272033	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
0	11	0.886142639118628	11909		0.0524963657019616	Human T-cell leukemia virus 2	Human_viruses
0	15	0.886142639118628	11927		0.0524963657019616	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
4	26	0.828947368421065	1263720		0.0814730428272033	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012)	Non-human_viruses_that_infect_humans
0	21	0.886142639118628	1343791		0.0524963657019616	Influenza A virus	Human_viruses
8	64	0.828947368421065	158611		0.0814730428272033	Influenza A virus	Human_viruses
6	35	0.828947368421065	1891767		0.0814730428272033	Simian virus 40	Non-human_viruses_that_do_not_infect_humans
