Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
54	13	0.594913796714196	10254		0.225545959185029	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
78	11	0.148622902230788	10299		0.827914262270797	Human herpesvirus 1 (strain 17)	Human_viruses
12	4	0.594913796714196	10360		0.225545959185029	Human cytomegalovirus (strain AD169)	Human_viruses
28	3	0.402057708738176	10376		0.395711606647367	Epstein-Barr virus (strain GD1)	Human_viruses
64	13	0.485529177807897	10377		0.313784666105714	Epstein-Barr virus (strain B95-8)	Human_viruses
7	3	0.594913796714196	10407		0.225545959185029	Hepatitis B virus	Human_viruses
1	0	0.594913796714196	10515		0.225545959185029	Human adenovirus C serotype 2	Human_viruses
118	21	0.148622902230788	10579		0.827914262270797	Human papillomavirus type 8	Human_viruses
29	5	0.485529177807897	10580		0.313784666105714	Human papillomavirus 11	Human_viruses
74	14	0.275540135246217	10583		0.559815132759805	Human papillomavirus type 1	Human_viruses
69	19	0.594913796714196	10586		0.225545959185029	Human papillomavirus 33	Human_viruses
63	16	0.5107337516638	10588		0.291805440995071	Human papillomavirus 39	Human_viruses
22	4	0.5716355698335	10600		0.242880755210345	Human papillomavirus type 6b	Human_viruses
42	10	0.557647522667498	10614		0.253640222799547	Human papillomavirus 3	Human_viruses
86	23	0.5107337516638	10621		0.291805440995071	Human papillomavirus 9	Human_viruses
6	5	0.841803661116905	11259		0.0747891897790017	Human respiratory syncytial virus A (strain A2)	Human_viruses
1	2	0.759099239106685	11676		0.119701443894934	Human immunodeficiency virus 1	Human_viruses
6	0	0.5107337516638	11679		0.291805440995071	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
168	57	0.5716355698335	11706		0.242880755210345	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
4	4	0.886871652526464	11714		0.0521392264283634	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
9	2	0.594913796714196	11909		0.225545959185029	Human T-cell leukemia virus 2	Human_viruses
12	3	0.594913796714196	11927		0.225545959185029	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
