Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val	organism	Category
13	89	0.754653839012665	10254		0.122252214305941	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
12	91	0.754653839012665	10299		0.122252214305941	Human herpesvirus 1 (strain 17)	Human_viruses
1	11	0.754653839012665	10360		0.122252214305941	Human cytomegalovirus (strain AD169)	Human_viruses
3	34	0.754653839012665	10376		0.122252214305941	Epstein-Barr virus (strain GD1)	Human_viruses
11	75	0.754653839012665	10377		0.122252214305941	Epstein-Barr virus (strain B95-8)	Human_viruses
2	10	0.754653839012665	10407		0.122252214305941	Hepatitis B virus	Human_viruses
0	6	0.75733022468439	10515		0.12071471034598	Human adenovirus C serotype 2	Human_viruses
23	151	0.754653839012665	10579		0.122252214305941	Human papillomavirus type 8	Human_viruses
6	31	0.754653839012665	10580		0.122252214305941	Human papillomavirus 11	Human_viruses
14	91	0.754653839012665	10583		0.122252214305941	Human papillomavirus type 1	Human_viruses
7	98	0.893055251783688	10586		0.0491216712318629	Human papillomavirus 33	Human_viruses
10	78	0.754653839012665	10588		0.122252214305941	Human papillomavirus 39	Human_viruses
2	35	0.893055251783688	10600		0.0491216712318629	Human papillomavirus type 6b	Human_viruses
6	39	0.754653839012665	10614		0.122252214305941	Human papillomavirus 3	Human_viruses
13	95	0.754653839012665	10621		0.122252214305941	Human papillomavirus 9	Human_viruses
1	9	0.754653839012665	11259		0.122252214305941	Human respiratory syncytial virus A (strain A2)	Human_viruses
2	6	0.754653839012665	11676		0.122252214305941	Human immunodeficiency virus 1	Human_viruses
1	7	0.754653839012665	11679		0.122252214305941	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
35	217	0.754653839012665	11706		0.122252214305941	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
1	3	0.754653839012665	11714		0.122252214305941	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
