Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
76	19	0.665194898844615	10254		0.177051089897692	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
93	16	0.212596319276888	10299		0.672444258775914	Human herpesvirus 1 (strain 17)	Human_viruses
15	4	0.665194898844615	10360		0.177051089897692	Human cytomegalovirus (strain AD169)	Human_viruses
38	7	0.358286753364416	10376		0.445769248342641	Epstein-Barr virus (strain GD1)	Human_viruses
75	14	0.263174177270775	10377		0.579756726072465	Epstein-Barr virus (strain B95-8)	Human_viruses
8	3	0.665194898844615	10407		0.177051089897692	Hepatitis B virus	Human_viruses
3	0	0.665194898844615	10515		0.177051089897692	Human adenovirus C serotype 2	Human_viruses
134	26	0.212596319276888	10579		0.672444258775914	Human papillomavirus type 8	Human_viruses
33	13	0.675601151499623	10580		0.170309618885656	Human papillomavirus 11	Human_viruses
87	18	0.253389254349785	10583		0.596211806483142	Human papillomavirus type 1	Human_viruses
71	24	0.675601151499623	10586		0.170309618885656	Human papillomavirus 33	Human_viruses
69	14	0.253389254349785	10588		0.596211806483142	Human papillomavirus 39	Human_viruses
28	5	0.444549812903812	10600		0.352079568198456	Human papillomavirus type 6b	Human_viruses
44	10	0.431009863141382	10614		0.365512791419629	Human papillomavirus 3	Human_viruses
105	27	0.358286753364416	10621		0.445769248342641	Human papillomavirus 9	Human_viruses
10	6	0.76111844600805	11259		0.11854775263168	Human respiratory syncytial virus A (strain A2)	Human_viruses
4	2	0.665194898844615	11676		0.177051089897692	Human immunodeficiency virus 1	Human_viruses
9	0	0.301849891321154	11679		0.520208976175033	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
176	64	0.665194898844615	11706		0.177051089897692	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
6	4	0.775099218721302	11714		0.110642700867743	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
