Top_I	Top_NI	p_val	Total_NI	Total_I	Virus	Significance	log_p_val	organism	Category
4	87	0.384095654158621	101121	2634	10254		0.415560606621878	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
7	102	0.355288954983341	132102	5900	10299		0.449418293395408	Human herpesvirus 1 (strain 17)	Human_viruses
2	8	0.143837564663691	11900	610	10360		0.842127678656411	Human cytomegalovirus (strain AD169)	Human_viruses
1	39	0.543103448275868	42502	1154	10376		0.265117439773332	Epstein-Barr virus (strain GD1)	Human_viruses
6	73	0.0798434732147875	108422	3726	10377	***	1.09776057937088	Epstein-Barr virus (strain B95-8)	Human_viruses
0	11	0.543103448275868	10858	326	10407		0.265117439773332	Hepatitis B virus	Human_viruses
0	3	0.543103448275868	8491	391	10515		0.265117439773332	Human adenovirus C serotype 2	Human_viruses
11	155	0.0220222575992263	197443	6239	10579	***	1.65713816162999	Human papillomavirus type 8	Human_viruses
7	30	2.54409983116025e-07	55801	1520	10580	***	6.59446585085721	Human papillomavirus 11	Human_viruses
8	101	0.0406246004241523	98081	3273	10583	***	1.39121089763003	Human papillomavirus type 1	Human_viruses
7	80	0.0280451366617185	121704	3921	10586	***	1.55214243936687	Human papillomavirus 33	Human_viruses
6	69	0.04236277107826	84022	2679	10588	***	1.37301563910669	Human papillomavirus 39	Human_viruses
5	29	8.21234873523744e-05	53755	1221	10600	***	4.08553261670847	Human papillomavirus type 6b	Human_viruses
5	38	0.00365608506656165	52291	1434	10614	***	2.43698370803981	Human papillomavirus 3	Human_viruses
10	94	0.00365608506656165	137019	4880	10621	***	2.43698370803981	Human papillomavirus 9	Human_viruses
0	14	0.543103448275868	12362	331	11259		0.265117439773332	Human respiratory syncytial virus A (strain A2)	Human_viruses
0	8	0.543103448275868	12396	496	11676		0.265117439773332	Human immunodeficiency virus 1	Human_viruses
0	9	0.543103448275868	12315	323	11679		0.265117439773332	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
12	228	0.293732639273307	341344	12488	11706		0.532047792432929	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
0	9	0.543103448275868	16938	323	11714		0.265117439773332	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
