Top_S	Top_NS	p_val	Virus	Significance	log_p_val	organism	Category
73	18	0.647127661522299	10254		0.189010035829564	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
97	12	0.06731304057794	10299	***	1.1719007916094	Human herpesvirus 1 (strain 17)	Human_viruses
8	2	0.647127661522299	10360		0.189010035829564	Human cytomegalovirus (strain AD169)	Human_viruses
33	7	0.647127661522299	10376		0.189010035829564	Epstein-Barr virus (strain GD1)	Human_viruses
62	17	0.647127661522299	10377		0.189010035829564	Epstein-Barr virus (strain B95-8)	Human_viruses
7	4	0.667502401111584	10407		0.175547167734719	Hepatitis B virus	Human_viruses
3	0	0.647127661522299	10515		0.189010035829564	Human adenovirus C serotype 2	Human_viruses
138	28	0.397344427370309	10579		0.400832873446874	Human papillomavirus type 8	Human_viruses
22	15	0.962469911445872	10580		0.0166128384400102	Human papillomavirus 11	Human_viruses
85	24	0.647127661522299	10583		0.189010035829564	Human papillomavirus type 1	Human_viruses
66	21	0.647127661522299	10586		0.189010035829564	Human papillomavirus 33	Human_viruses
56	19	0.647127661522299	10588		0.189010035829564	Human papillomavirus 39	Human_viruses
29	5	0.647127661522299	10600		0.189010035829564	Human papillomavirus type 6b	Human_viruses
32	11	0.647127661522299	10614		0.189010035829564	Human papillomavirus 3	Human_viruses
83	21	0.647127661522299	10621		0.189010035829564	Human papillomavirus 9	Human_viruses
8	6	0.855450362910211	11259		0.0678051851171553	Human respiratory syncytial virus A (strain A2)	Human_viruses
6	2	0.647127661522299	11676		0.189010035829564	Human immunodeficiency virus 1	Human_viruses
9	0	0.469544275388461	11679		0.32832344993612	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
178	62	0.647127661522299	11706		0.189010035829564	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
5	4	0.855450362910211	11714		0.0678051851171553	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
7	6	0.93913996842692	11909		0.0272696761200727	Human T-cell leukemia virus 2	Human_viruses
20	7	0.647127661522299	11927		0.189010035829564	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
18	7	0.667502401111584	1263720		0.175547167734719	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012)	Non-human_viruses_that_infect_humans
17	4	0.647127661522299	1343791		0.189010035829564	Influenza A virus	Human_viruses
68	22	0.786899790205506	158611		0.104080570476746	Influenza A virus	Human_viruses
