Pair	Precision	Recall	Num_true_Ires	Num_pred_Ires
P03502_P05161	0.969	0.517	60	32
P0DTC6_P52948	0.0	0.0	7	13
O10647_P13236	0.74	0.638	58	50
P01903_P03437	0.375	0.171	35	16
O60885_P0DTC4	0.0	0.0	28	24
P19525_P21605	0.0	0.0	52	26
O60684_P31345	0.0	0.0	83	15
P03129_P28749	0.465	0.952	21	43
P08362_P15529	0.059	0.018	55	17
P03228_P09603	0.611	0.25	44	18
P69332_P78423	0.631	0.812	80	103
P59634_P78406	0.92	0.5	46	25
P04608_P50750	0.0	0.0	18	43
P10147_Q2F862	0.698	0.974	38	53
P02786_Q8AZ57	0.0	0.0	42	23
P46108_Q99AU3	0.444	0.32	25	18
P36711_P78310	0.925	0.902	41	40
O14786_P0DTC2	0.0	0.0	13	4
P62937_Q72497	0.92	0.479	48	25
P13500_Q2F862	0.804	0.865	52	56
P08160_Q14790	0.762	0.64	50	42
P0DTC9_Q13283	0.565	0.897	29	46
P08393_P63165	0.655	0.655	29	29
P03407_P08631	0.286	0.159	63	35
P01730_Q2N0S6	1.0	0.426	101	43
P69723_Q13951	0.861	0.456	136	72
P08393_P61956	0.388	0.655	29	49
P0DTC6_P78406	0.905	0.704	27	21
P01730_Q1PHM6	0.864	0.809	47	44
Q02843_Q8WUM4	0.0	0.0	20	12
P01375_Q9DHW0	0.871	0.519	52	31
O89343_P52799	0.939	0.512	121	66
P03079_P06241	0.0	0.0	20	14
O94826_P0DTD2	0.729	0.543	94	70
P80098_Q2F862	0.815	0.863	51	54
O60885_P03120	0.289	0.52	25	45
Q14160_Q6DP93	0.0	0.0	33	49
P57083_Q92956	0.913	0.913	46	46
P0DTC4_Q8N3R9	0.7	0.5	42	30
P01579_Q66793	0.854	0.875	40	41
P03180_Q13651	0.767	0.846	39	43
Q786F2_Q96NY8	0.333	0.141	85	36
P08393_Q93009	0.0	0.0	41	47
P03079_P06239	0.0	0.0	20	49
O60486_Q8JL80	0.976	0.82	50	42
O41925_P13500	0.828	0.407	59	29
P06492_Q00403	0.235	0.286	42	51
P52948_P59634	0.0	0.0	6	13
P04591_P62937	0.96	0.381	63	25
P89884_Q14457	0.241	0.14	50	29
P03211_Q93009	0.318	0.35	20	22
Q15223_Q69091	0.263	0.417	48	76
P09603_P0CW72	0.579	0.367	30	19
P19508_Q9Y4B6	0.735	0.828	87	98
P69723_Q9HC16	0.52	0.167	78	25
P11207_Q16531	0.867	0.127	102	15
O95639_P03495	0.167	0.15	40	36
P40189_Q98823	0.839	0.963	27	31
P03070_P06400	0.633	0.514	37	30
P16778_Q07812	0.113	0.636	11	62
P59637_Q8N3R9	0.433	0.812	16	30
P03126_P26045	0.0	0.0	25	22
O00629_P31345	0.047	0.024	82	43
P12504_Q13951	0.897	0.372	164	68
P06463_Q9HD26	0.483	0.452	31	29
O36972_P63098	0.187	0.25	24	32
P17150_Q13651	0.935	0.796	54	46
P03255_P06400	0.375	0.279	43	32
P52799_Q9IH62	0.836	0.918	61	67
P03126_P29074	0.0	0.0	23	16
O15131_Q05322	0.937	0.9	50	48
Q00534_Q01043	0.965	0.891	92	85
K9N643_O00629	0.562	0.957	47	80
P07948_P22575	0.0	0.0	33	58
P26554_Q12959	0.0	0.0	28	27
P06788_Q15678	0.795	0.969	32	39
P03126_Q9HD26	0.098	0.161	31	51
P06463_Q14160	0.0	0.0	33	11
P06463_P26045	0.0	0.0	28	33
P12504_Q93034	0.326	0.152	99	46
P24768_Q13618	0.796	0.907	43	49
P01730_P04578	0.936	0.611	72	47
Q2HR73_Q93009	0.0	0.0	31	89
P03126_P04637	0.197	0.197	66	66
P03081_P30153	0.583	0.583	48	48
P01857_P04488	0.0	0.0	45	77
O00571_P68466	0.161	0.156	32	31
P35968_P52584	0.811	0.909	33	37
P03182_Q16611	0.125	0.132	38	40
P12504_Q9HC16	0.48	0.2	60	25
O60563_P04608	0.955	0.753	85	67
P03126_Q14160	0.0	0.0	49	47
