pair	NumResProt1	NumResProt2	AlignRate	DockQ_AFM	TMScore_AFM	RMSD_AFM	iRMSD_AFM	lRMSD_AFM	DockQ_ESM	TMScore_ESM	RMSD_ESM	iRMSD_ESM	lRMSD_ESM	DockQ_GD	TMScore_GD	RMSD_GD	iRMSD_GD	lRMSD_GD	DockQ_RD	TMScore_RD	RMSD_RD	iRMSD_RD	lRMSD_RD	DockQ_DD	TMScore_DD	RMSD_DD	iRMSD_DD	lRMSD_DD	DockQ_DDb	TMScore_DDb	RMSD_DDb	iRMSD_DDb	lRMSD_DDb	Domain	Date_after_train	AFM_Score	Ires_Precision	Ires_Recall
P03502_P05161	97	153	0.9840000000000001	0.6609999999999999	0.86695	2.4	1.6269999999999998	4.763	0.013000000000000001	0.55942	1.82	15.923	48.617	0.043	0.5726899999999999	2.07	9.722000000000001	39.994	0.016	0.57385	1.55	10.741	48.777	0.013999999999999999	0.57482	1.45	18.484	44.51	0.018000000000000002	0.54486	2.22	11.210999999999999	43.231	Viruses	False	0.5388740245649271	0.818181570248009	0.4655171611177308
P08581_P0DQD2	675	285	0.951	0.006	0.67003	2.84	29.791	71.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.75592	2.52	16.387	36.787	Bacteria	False	0.5562646223908825	0.49230761656805894	0.3809523356009124
P06492_P53999	26	65	1.0	0.003	0.64394	1.14	45.81399999999999	96.104	0.039	0.6772199999999999	0.78	11.216	25.544	0.0	0.0	0.0	0.0	0.0	0.022000000000000002	0.61683	1.45	15.452	34.468	0.02	0.64379	1.16	13.664000000000001	37.467	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.2347969528708868	0.3999992000016	0.042553182435493
G8UZ99_Q9UBQ0	198	181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.5937100000000001	3.04	14.845999999999998	24.287	Bacteria	False	-1.0	-1.0	-1.0
I0E093_P52799	417	137	0.986	0.565	0.95865	1.74	1.7519999999999998	3.738	0.011000000000000001	0.63747	3.11	15.823	53.677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.74047	0.22	13.725	42.799	Viruses	False	0.6487415099748178	0.4382021979548092	0.4431817678202536
A0A140GKJ0_Q03518	55	561	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.77359	3.79	16.246	35.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.9181	0.54	11.119000000000002	22.123	Viruses	False	-1.0	-1.0	-1.0
B9V0E2_Q6PIL8	153	201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026000000000000002	0.44463	3.49	9.216000000000001	36.781	0.011000000000000001	0.5702699999999999	0.0	14.807	55.993	Viruses	False	-1.0	-1.0	-1.0
O10647_P13236	242	66	0.9670000000000001	0.44	0.89145	2.32	3.964	7.075	0.013000000000000001	0.4048	4.49	16.561	48.626999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Viruses	False	0.7655543394406353	0.5087718405663437	0.4915253404194338
D0ZVG2_Q16512	234	66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022000000000000002	0.76646	1.33	18.942	33.952	0.01	0.77079	0.75	22.453000000000003	53.961999999999996	0.025	0.78114	1.13	16.311	31.872	0.047	0.7860199999999999	1.5	12.561	27.4	Bacteria	False	0.2492803570027982	0.0	0.0
P01903_P03437	180	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022000000000000002	0.90699	1.1	11.962	36.385	0.035	0.91079	1.04	9.531	28.796	0.013000000000000001	0.91956	0.88	15.682	49.628	0.027000000000000003	0.93015	0.27	11.748	32.595	Viruses	False	0.2695033988561103	0.1904760997732858	0.1176470242214634
