Uid1	Uid2	P2_MSA_depth	P1_MSA_depth	paired_MSA_depth
P06428	Q1MSJ5	2046	1092	0
P29996	Q1W4C9	2047	671	0
P29996	Q29983	2047	671	0
P29996	Q2HIY3	2047	678	14
P29996	Q2KHT4	2047	671	0
O41946	Q2M3G4	2047	37	0
H9XIJ5	Q2QGD7	2047	715	0
H9XIJ5	Q2TAA8	2047	715	0
P03428	Q2TAY7	2047	717	2
Q2TAY7	Q8JSN6	717	2047	2
Q2TBE0	Q80HW9	1862	2047	0
Q2YD98	Q81983	0	2047	0
A0A097PIH4	Q32MZ4	2047	2047	15
O09234	Q32MZ4	2047	2047	14
P03433	Q32MZ4	2047	695	0
Q1I2B2	Q32MZ4	2047	703	0
Q32MZ4	Q8JSN5	701	2047	0
P14079	Q33E94	2047	106	0
P24835	Q3B726	2047	1138	1
P06429	Q3B820	2047	862	0
Q2KRY7	Q3B820	2047	56	0
O41932	Q3MJ40	1539	28	0
P29996	Q3YBM2	1970	671	0
P29996	Q3ZAQ7	1502	671	0
Q1HVI8	Q3ZCQ8	2047	49	1
Q3ZCQ8	Q9WC28	2047	2047	14
P36810	Q496F6	2047	1078	0
P06430	Q49A26	2047	870	0
P06932	Q49A26	2047	888	0
P68331	Q49A26	2047	77	0
Q1I2B2	Q49A26	2047	703	0
P25214	Q49A88	909	124	1
Q1HVD6	Q49A88	909	125	1
Q49A88	Q88489	2047	908	0
P03087	Q49AM1	2047	428	0
P23372	Q4G0J3	2047	50	0
P29996	Q4G0N4	2047	671	0
A6YJF2	Q4J6C6	2047	106	1
P10204	Q4J6C6	2047	51	0
Q0A2H1	Q4J6C6	2047	106	1
Q20MH4	Q4J6C6	2047	104	1
Q20P38	Q4J6C6	2047	105	0
Q2PJP1	Q4J6C6	2047	108	1
Q4J6C6	Q6DP94	104	2047	1
Q4J6C6	R9WKI0	105	2047	1
P03087	Q4KMZ8	1902	428	0
P36817	Q4LDG9	2047	861	0
P29996	Q4U2R8	2047	671	0
O41931	Q4V328	1980	78	0
O41946	Q4V328	1980	37	0
P0DOE7	Q4VCS5	2047	33	0
Q4ZHG4	Q6J8G2	1497	2047	23
Q4ZHG4	Q9WC28	2047	2047	14
Q52WX2	Q8JSN5	701	2047	0
P03317	Q53EZ4	1020	2047	189
P08411	Q53EZ4	893	2047	0
P0C206	Q53EZ4	893	45	0
Q1H8W6	Q53EZ4	893	2047	0
P03129	Q53FD0	2047	758	0
Q53FZ2	Q76R61	1649	2047	1
P03346	Q53G59	2047	2047	767
P0C742	Q53G59	2047	23	0
A0A097PIH4	Q53GI3	2047	2047	8
O09234	Q53GI3	2047	2047	7
P06465	Q53GQ0	2047	947	0
P23372	Q53H80	2014	50	0
P36801	Q53H82	2047	1107	1
P03410	Q53HC0	1035	88	0
P14079	Q53HC0	1035	106	0
A0A288CFT1	Q53HV7	2047	1825	0
P36801	Q53LP3	2047	1107	1
P06477	Q53RE8	2047	162	1
P10204	Q53RE8	2047	51	0
P04601	Q573B4	2047	2047	2
P09503	Q573B4	2047	2047	1023
P22575	Q573B4	2047	11	0
Q02840	Q573B4	2047	2047	2
P0C6Z1	Q58DX5	2047	1299	0
P0CK48	Q58DX5	2047	126	1
Q58EX2	Q6J8G2	1493	2047	0
Q58EX2	Q9WC28	1337	2047	0
H9XIJ5	Q58WW2	2047	717	2
P06428	Q58WW2	2047	1093	1
P10230	Q5D1E8	2047	93	0
P03087	Q5DT03	2047	428	0
P29996	Q5DX21	2047	671	0
P29996	Q5EB52	2047	671	0
A5Z256	Q5JPE7	2047	700	0
H9XIJ5	Q5JPE7	2047	715	0
A0A218M2D5	Q5JQF8	2047	1431	0
P0CK48	Q5JR59	2047	126	1
P10230	Q5JR59	2047	93	0
P32888	Q5JR59	2047	132	0
P15059	Q5JRA6	2047	2047	1023
A0A097PIH4	Q5JTH9	2047	2047	13
O09234	Q5JTH9	2047	2047	12
Q5JU67	Q8QXP6	2047	1905	4
P06477	Q5JUX0	2047	162	0
Q5JUX0	Q8JSN5	701	2047	0
P29996	Q5JW98	1972	671	0
P03177	Q5JY77	2047	2047	0
P03188	Q5JY77	2047	625	0
P03206	Q5JY77	2047	15	0
P0C744	Q5JY77	2047	2047	3
P0C763	Q5JY77	2047	623	0
Q1HVD1	Q5JY77	2047	2047	0
Q1HVG1	Q5JY77	2047	15	0
Q5JY77	Q8JSN8	1661	2047	0
P36817	Q5M7Z0	2047	861	0
O41957	Q5M9N0	1209	136	0
P14335	Q5M9Q1	2047	2047	12
P03087	Q5MY95	2047	428	0
P29996	Q5QGZ9	2047	672	2
A0A097PIH4	Q5QJE6	2047	2047	15
O09234	Q5QJE6	2047	2047	14
Q5QJE6	Q88489	2047	2047	16
P04601	Q5RJ85	2047	2047	0
