"Dice_index"	"Hu_Prot"	"Vir_prot_1"	"Vir_prot_2"	"Vir_prot_1_Type"	"Vir_prot_2_Type"	"Comparison_type"
0.844444444444444	"Q53HV7"	"A0A288CFT1"	"P69726"	"HIV"	"HIV"	"HIV:HIV"
0.296296296296296	"Q5T1Z8"	"P03126"	"P03129"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P03126"	"P06427"	"High risk"	"High risk"	"High risk:High risk"
0.55	"Q5T1Z8"	"P03126"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P03126"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.428571428571429	"Q5T1Z8"	"P03126"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P03126"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P03129"	"P06427"	"High risk"	"High risk"	"High risk:High risk"
0.466666666666667	"Q5T1Z8"	"P03129"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.0512820512820513	"Q5T1Z8"	"P03129"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.67741935483871	"Q5T1Z8"	"P03129"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P03129"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06427"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06427"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06427"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.897959183673469	"Q5T1Z8"	"P06427"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0.16	"Q5T1Z8"	"P06429"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.458333333333333	"Q5T1Z8"	"P06429"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06429"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06463"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06463"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T1Z8"	"P06788"	"P24835"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5T2W1"	"P03126"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.571428571428571	"Q5TAQ9"	"P03126"	"P06427"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5TCQ9"	"P03126"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.547368421052632	"Q5VTE0"	"P03129"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.64	"Q5VTE0"	"P03129"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.431818181818182	"Q5VTE0"	"P06429"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5VTR2"	"P03107"	"P17389"	"High risk"	"High risk"	"High risk:High risk"
0	"Q5VWQ8"	"P06462"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K64"	"P03126"	"P03129"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K64"	"P03126"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K64"	"P03126"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K64"	"P03126"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.491228070175439	"Q66K64"	"P03129"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.60377358490566	"Q66K64"	"P03129"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.523076923076923	"Q66K64"	"P03129"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.607142857142857	"Q66K64"	"P06429"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.705882352941177	"Q66K64"	"P06429"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.59375	"Q66K64"	"P06464"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.415094339622642	"Q66K74"	"P03120"	"P03129"	"High risk"	"High risk"	"High risk:High risk"
0.784313725490196	"Q66K74"	"P03120"	"P04015"	"High risk"	"High risk"	"High risk:High risk"
0.565217391304348	"Q66K74"	"P03120"	"P06423"	"High risk"	"High risk"	"High risk:High risk"
0.4	"Q66K74"	"P03120"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.390243902439024	"Q66K74"	"P03120"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.25	"Q66K74"	"P03120"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.53125	"Q66K74"	"P03120"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K74"	"P03120"	"P06790"	"High risk"	"High risk"	"High risk:High risk"
0.0444444444444444	"Q66K74"	"P03120"	"Q84292"	"High risk"	"High risk"	"High risk:High risk"
0.375	"Q66K74"	"P03129"	"P04015"	"High risk"	"High risk"	"High risk:High risk"
0.465116279069767	"Q66K74"	"P03129"	"P06423"	"High risk"	"High risk"	"High risk:High risk"
0.595744680851064	"Q66K74"	"P03129"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.631578947368421	"Q66K74"	"P03129"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.622222222222222	"Q66K74"	"P03129"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.557377049180328	"Q66K74"	"P03129"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K74"	"P03129"	"P06790"	"High risk"	"High risk"	"High risk:High risk"
0.238095238095238	"Q66K74"	"P03129"	"Q84292"	"High risk"	"High risk"	"High risk:High risk"
0.341463414634146	"Q66K74"	"P04015"	"P06423"	"High risk"	"High risk"	"High risk:High risk"
0.266666666666667	"Q66K74"	"P04015"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.444444444444444	"Q66K74"	"P04015"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.13953488372093	"Q66K74"	"P04015"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.440677966101695	"Q66K74"	"P04015"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0	"Q66K74"	"P04015"	"P06790"	"High risk"	"High risk"	"High risk:High risk"
0.05	"Q66K74"	"P04015"	"Q84292"	"High risk"	"High risk"	"High risk:High risk"
0.65	"Q66K74"	"P06423"	"P06429"	"High risk"	"High risk"	"High risk:High risk"
0.258064516129032	"Q66K74"	"P06423"	"P06463"	"High risk"	"High risk"	"High risk:High risk"
0.368421052631579	"Q66K74"	"P06423"	"P06464"	"High risk"	"High risk"	"High risk:High risk"
0.518518518518518	"Q66K74"	"P06423"	"P06788"	"High risk"	"High risk"	"High risk:High risk"
0.0952380952380952	"Q66K74"	"P06423"	"P06790"	"High risk"	"High risk"	"High risk:High risk"
0.171428571428571	"Q66K74"	"P06423"	"Q84292"	"High risk"	"High risk"	"High risk:High risk"
