Pair	Viral_Prot	Human_Prot	vname	score	HPV_anno	HPV_anno2	Group
P03126_P52292	P03126	P52292	HPV16	0.352	High risk	High risk	3
P06427_P52292	P06427	P52292	HPV33	0.374	High risk	High risk	4
P06463_P52292	P06463	P52292	HPV18	0.406	High risk	High risk	2
P17386_P52292	P17386	P52292	HPV31	0.298	High risk	High risk	3
P21735_P52292	P21735	P52292	HPV45	0.315	High risk	High risk	4
P24835_P52292	P24835	P52292	HPV39	0.683	High risk	High risk	2
P26554_P52292	P26554	P52292	HPV51	0.307	High risk	High risk	4
P26555_P52292	P26555	P52292	HPV58	0.425	High risk	High risk	4
P27228_P52292	P27228	P52292	HPV35	0.432	High risk	High risk	3
P50804_P52292	P50804	P52292	HPV70	0.662	High risk	High risk	3
P54667_P52292	P54667	P52292	HPV68	0.642	High risk	High risk	3
P04019_P52292	P04019	P52292	HPV11	0.421	Low risk	High risk	4
P06462_P52292	P06462	P52292	HPV6B	0.41	Low risk	High risk	4
Q84291_P52292	Q84291	P52292	HPV6A	0.283	Low risk	High risk	3
P06428_P52292	P06428	P52292	HPV08	0.492	Non oncogenic	Low risk	1
P06929_P52292	P06929	P52292	HPV1	0.345	Non oncogenic	Low risk	1
P06930_P52292	P06930	P52292	HPV05	0.431	Non oncogenic	Low risk	1
P36799_P52292	P36799	P52292	HPV03	0.359	Non oncogenic	Low risk	1
P36801_P52292	P36801	P52292	HPV09	0.362	Non oncogenic	Low risk	1
P36802_P52292	P36802	P52292	HPV10	0.266	Non oncogenic	Low risk	3
P36810_P52292	P36810	P52292	HPV32	0.271	Non oncogenic	Low risk	3
Q80907_P52292	Q80907	P52292	HPV38	0.504	Non oncogenic	Low risk	1
