pair	NumResProt1	NumResProt2	DockQ_AFM	TMScore_AFM	RMSD_AFM	iRMSD_AFM	lRMSD_AFM	Date_after_train	AFM_Score	Ires_Precision	Ires_Recall
A0A022MQ12_A0A022MQ12	494	494	0.919	0.99542	0.65	0.673	0.725	True	0.9616452464188384	0.9999999300699348	0.9050632338567574
A0A076Q3N8_Q74085	408	539	0.0	0.0	0.0	0.0	0.0	False	0.3231020877789115	0.0	0.0
A0A085S5D1_A0A0F0BAF3	174	341	0.411	0.73458	4.32	4.892	11.286	True	0.1459436295387659	0.8271603917085936	0.8589742488494553
A0A085S5D1_A0A0H6JG76	174	354	0.257	0.78294	3.21	7.864	12.901	True	0.5314775082979941	0.3636362809917542	0.5517239476813973
A0A0F7R2R9_A0A0F7R6G7	78	489	0.737	0.97801	1.33	1.309	2.231	True	0.9114466621327822	0.9024388042832184	0.8043476512287714
A0A0H2UPS5_A0A0H2UPS5	356	356	0.983	0.99837	0.37	0.223	0.666	False	0.9582569879333116	0.9666665861111178	0.5979381135083447
A0A0H2UQ08_A0A0H2UQ20	119	92	0.768	0.94338	1.43	1.188	2.506	False	0.8736647905205099	0.9365077878559066	0.5412843540106097
A0A0H2URA5_A0A0H2URC7	58	149	0.8	0.95028	1.27	1.153	1.493	False	0.821736433547605	0.8928569834183958	0.8196719967750824
A0A0H2URC7_A0A0H2URC7	149	149	0.014	0.43093	2.57	19.777	44.609	False	0.7261987951946525	0.0	0.0
A0A1B4XKS0_A0A1B4XMV6	81	83	0.0	0.0	0.0	0.0	0.0	False	0.1684154823459415	0.7826083553876716	0.7499996875001302
A0A1B4XKS2_A0A1B4XMV6	177	83	0.0	0.0	0.0	0.0	0.0	False	0.2383952017714578	0.933333125925972	0.7118642861246972
A0A1B4XKS6_A0A1B4XKW0	131	164	0.855	0.97242	1.08	0.824	1.845	False	0.1267116392247775	0.9999996875000976	0.7804876145152159
A0A1B4XKW0_A0A1B4XRV7	164	201	0.009	0.56034	1.45	27.454	54.404	False	-1.0	-1.0	-1.0
A0A1B4XM76_A0A1B4XSB2	118	146	0.734	0.91288	1.91	1.567	4.816	False	0.1463080260906965	0.8965514149822708	0.8387094068679333
A0A1E1GJG5_A0A1E1GJG5	276	276	0.009	0.49915	1.55	23.832	57.255	True	0.1882748477232648	0.0833332986111255	0.0714285459183764
A0A1I9GEN8_A0A1I9GEN8	418	418	0.453	0.85365	4.13	2.104	14.253	False	0.6172269478870669	0.4925372399198149	0.9705879498270736
A0A1S3U769_A0A1S3V7V2	216	433	0.0	0.0	0.0	0.0	0.0	False	0.8643732335023772	0.7414965481975138	0.915966309582663
A0A1Z3HS05_A0A1Z3HS05	144	144	0.0	0.0	0.0	0.0	0.0	False	0.5469492861692543	0.9999996774194588	0.3444444061728437
A0A218NZU0_A0A218P0R0	133	184	0.749	0.97272	1.14	1.498	1.674	True	0.7886388467911716	0.7358489177643551	0.8666664740741168
A0A241XG65_E2RXT9	156	129	0.455	0.94609	1.56	3.623	4.457	False	0.0965851186283842	0.9677416233091538	0.6818180268595393
A0A241XH26_A0A2V3D5Z8	199	144	0.426	0.63718	2.43	1.685	61.979	False	0.6672325671250516	0.9166662847223814	0.8799996480001409
A0A287AQT5_A0A480JTD7	292	117	0.0	0.0	0.0	0.0	0.0	False	0.1226909509213557	0.9310343222354616	0.9310343222354616
