UniProtA	UniProtB	TaxIDA	TaxIDB	PDBSources	Domain	Date_after_train	NumResProt1	NumResProt2	DockQ_AFM	AFM_Score	Ires_Precision	Ires_Recall	AlignRate	human_MSA_depth	viral_MSA_depth	paired_MSA_depth
P03502	P05161	518987.0	9606.0	3R66-A:C;3R66-A:D;3R66-B:C;3R66-B:D;3RT3-C:B;3SDL-A:C;3SDL-A:D;3SDL-B:C;3SDL-B:D	Viruses	False	97	153	0.661	0.5388740245649271	0.818181570248009	0.4655171611177308	0.984	2047	19	0
P08581	P0DQD2	9606.0	169963.0	6GCU-A:B;6GCU-D:E	Bacteria	False	675	285	0.006	0.5562646223908825	0.492307616568059	0.3809523356009124	0.951	2047	2047	1023
P06492	P53999	10299.0	9606.0	2PHE-C:A;2PHE-C:B	Viruses	False	26	65	0.003	0.2347969528708868	0.3999992000016	0.042553182435493	1.0	2047	76	1
G8UZ99	Q9UBQ0	933093.0	9606.0	5WYH-B:A;5WYH-D:C	Bacteria	False	198	181	0.0	-1.0	-1.0	-1.0	0.0	-1	-1	-1
A6QG59	P01024	426430.0	9606.0	3D5R-C:A;3D5R-D:B;3D5S-C:A;3D5S-D:B	Bacteria	False	64	291	0.0	0.2670939594223817	0.0	0.0	0.0	2047	284	0
P08174	Q8JKE8	9606.0	12078.0	1UPN-E:A;1UPN-E:B;1UPN-E:C	Viruses	False	125	777	0.001	0.2369476843494976	0.0	0.0	0.986	2047	2047	14
I0E093	P52799	1112631.0	9606.0	4UF7-A:C;4UF7-A:E;4UF7-B:C	Viruses	False	417	137	0.565	0.6487415099748178	0.4382021979548092	0.4431817678202536	0.986	2047	231	0
A0A140GKJ0	Q03518	10298.0	9606.0	5U1D-X:A	Viruses	False	55	561	0.0	-1.0	-1.0	-1.0	0.0	-1	-1	-1
B9V0E2	Q6PIL8	595609.0	9606.0	6BKB-E:L	Viruses	False	153	201	0.0	-1.0	-1.0	-1.0	0.0	2047	2047	0
O10647	P13236	32606.0	9606.0	2FFK-A:B;2FIN-A:B	Viruses	False	242	66	0.44	0.7655543394406353	0.5087718405663437	0.4915253404194338	0.967	2047	87	0
P69697	Q9UHB7	11678.0	9606.0	5L1Z-D:C	Viruses	False	49	34	0.0	0.2926562200633137	0.0681818026859539	0.1874998828125732	0.0	2047	2047	0
