"Dice_index"	"Hu_Prot"	"Vir_prot_1"	"Vir_prot_2"	"Vir_prot_1_Type"	"Vir_prot_2_Type"	"Comparison_type"
0	"Q3B820"	"P06429"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q3B820"	"P06429"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.37037037037037	"Q3B820"	"Q2KRY7"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.438356164383562	"Q6UXK2"	"B9A5V9"	"B9A6D9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.647058823529412	"Q8N423"	"B9A6D9"	"C4P224"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.685714285714286	"Q8N423"	"B9A6D9"	"M0QUH6"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0588235294117647	"Q8N423"	"B9A6D9"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N423"	"B9A6D9"	"Q98822"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.634146341463415	"Q8N423"	"C4P224"	"M0QUH6"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N423"	"C4P224"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.05	"Q8N423"	"C4P224"	"Q98822"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N423"	"M0QUH6"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0487804878048781	"Q8N423"	"M0QUH6"	"Q98822"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N423"	"P03203"	"Q98822"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N9N5"	"P03203"	"P03428"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0	"Q8N9N5"	"P03203"	"P03496"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.0975609756097561	"Q8N9N5"	"P03203"	"P03508"	"<1e-04"	">=1e-04"	">=1e-04:<1e-04"
0.0909090909090909	"Q8N9N5"	"P03203"	"Q1HVG4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N9N5"	"P03203"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N9N5"	"P03203"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8N9N5"	"P03428"	"P03496"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0	"Q8N9N5"	"P03428"	"P03508"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0.413793103448276	"Q8N9N5"	"P03428"	"Q1HVG4"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0	"Q8N9N5"	"P03428"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0	"Q8N9N5"	"P03428"	"Q6VGT1"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0	"Q8N9N5"	"P03496"	"P03508"	">=1e-04"	">=1e-04"	">=1e-04:>=1e-04"
0	"Q8N9N5"	"P03496"	"Q1HVG4"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.1	"Q8N9N5"	"P03496"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.333333333333333	"Q8N9N5"	"P03496"	"Q6VGT1"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.0408163265306122	"Q8N9N5"	"P03508"	"Q1HVG4"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.0754716981132075	"Q8N9N5"	"P03508"	"Q2KRY7"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.0512820512820513	"Q8N9N5"	"P03508"	"Q6VGT1"	">=1e-04"	"<1e-04"	">=1e-04:<1e-04"
0.0588235294117647	"Q8N9N5"	"Q1HVG4"	"Q2KRY7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.1	"Q8N9N5"	"Q1HVG4"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.333333333333333	"Q8N9N5"	"Q2KRY7"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8NA61"	"Q2KRY7"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0	"Q8NEV8"	"Q2KRY7"	"Q6VGT1"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.549019607843137	"Q8NHL6"	"C4P226"	"M0QTU7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.538461538461538	"Q8NHL6"	"C4P226"	"M0QVB0"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.632911392405063	"Q8NHL6"	"C4P226"	"M0QVI9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.48	"Q8NHL6"	"C4P226"	"M0QVV7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.215384615384615	"Q8NHL6"	"C4P226"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.133333333333333	"Q8NHL6"	"C4P226"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.51063829787234	"Q8NHL6"	"C4P226"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.425531914893617	"Q8NHL6"	"M0QTU7"	"M0QVB0"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.405405405405405	"Q8NHL6"	"M0QTU7"	"M0QVI9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.533333333333333	"Q8NHL6"	"M0QTU7"	"M0QVV7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.133333333333333	"Q8NHL6"	"M0QTU7"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.16	"Q8NHL6"	"M0QTU7"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.619047619047619	"Q8NHL6"	"M0QTU7"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.453333333333333	"Q8NHL6"	"M0QVB0"	"M0QVI9"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.652173913043478	"Q8NHL6"	"M0QVB0"	"M0QVV7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0327868852459016	"Q8NHL6"	"M0QVB0"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.153846153846154	"Q8NHL6"	"M0QVB0"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.511627906976744	"Q8NHL6"	"M0QVB0"	"Q8BEL4"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.410958904109589	"Q8NHL6"	"M0QVI9"	"M0QVV7"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.204545454545455	"Q8NHL6"	"M0QVI9"	"P03203"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
0.0754716981132075	"Q8NHL6"	"M0QVI9"	"P35961"	"<1e-04"	"<1e-04"	"<1e-04:<1e-04"
